Question,Answers,Comment,Freq,Instructions,Render as
__噂__,うわさ,"［噂］準一級
音: ソン 訓: うわさ
意味: 大勢の話し声、同「譐」。
噂沓(ソントウ)、大勢の次から次へと湧(わ)き出る声、大勢の話し声が入り乱れるさま。
日うわさ、人のことを陰(かげ、その人がいないところ)であれこれと話すこと、事実かどうか分からない話。",噂 → JPDB Kanji Freq: 1072,漢字の読みを入力してください,Text
__呆__れ返る，__呆__れる・惘れる,あき,"［呆］準一級
音: ホウ／ホ／ボウ／ガイ 訓: あき・れる
意味: (動きや反応や切れ味が)鈍(にぶ)い、ぼんやりしている、同繁「獃」。
日あき・れる、咄嗟トッサのことでどうしてよいか分からない、あまりのことにどう反応してよいかわからない。",呆 → JPDB Kanji Freq: 1099,漢字の読みを入力してください,Text
物__貰__い，__貰__う,もら,"［貰］準一級
音: セイ／セ 訓: もら・う
意味: 代金後払い(掛け、後日決済の契約、付け払い、買い物をしたことを書き付けおいて後で清算すること)で物を買う、一旦貸すことにして物を渡し後で清算する、後払いで売買する(取引する)ことを「賒」、先払いで物を買うことを「贉」。
罪を(大目に見て、暫く間様子を見ることにして)赦(ゆる)す。
日もら・う、(対価を支払わずに)ものや世話を受ける。",貰 → JPDB Kanji Freq: 1114,漢字の読みを入力してください,Text
雲蒸__龍__変,りゅう,"［龍］準一級／一級
音: リョウ／リュウ／ロウ 訓: たつ
意味: 角(つの)と鬚(ひげ)を持ち体は細長く鱗(うろこ)があり、春分に天に昇り秋分に淵(ふち)に潜むという想像上の動物。
天子・君主・皇帝を指す語、龍飛(リュウヒ)(天子の即位)」、龍体(リュウタイ)(天子のお体)」。
ひときわ優れたものを指す語。
十二章紋の一つ{服飾(十二章紋)}。
背が高く(八尺以上の)大きな馬、駿馬シュンメ。",龍 → JPDB Kanji Freq: 1121,漢字の読みを入力してください,Text
大__掴__み，捕まえる・__掴__まえる・捉まえる,つか,"［掴］準一級
音: カク／キャク 訓: つか・む
意味: (耳や頬の辺りを)平手で殴る、びんたを食らわす。
日つか・む、手の中に包み入れて握る、掌と指全体を使って握る。",掴 → JPDB Kanji Freq: 1125,漢字の読みを入力してください,Text
__溜__まる，__溜__める,た,"［溜］準一級
音: リュウ／ル 訓: た・まる／た・める
意味: 雨が滴(したた)り落ちる、雨垂れ。
軒先から流れ落ちる雨でできた水溜り、雨垂れを受ける雨樋(あまどい)。
滑る、つるつるの、滑り落ちる。
すっと流れる、さっと抜ける、また抜け出す、滑るような動きを指す。
日水が一か所に集まって流れない、また集まって次第に増えて行く。",溜 → JPDB Kanji Freq: 1201,漢字の読みを入力してください,Text
打ち__揃__う，顔__揃__い,そろ,"［揃］準一級
音: セン 訓: そろ・う／そろ・える
意味: 鋏(はさみ)や鎌(かま)などで端を切り落とす、(無駄なものや不揃いのものを)切って先端を或いは全体を整える、同「剪」。
絶(た)つ、根刮(ねこそ)ぎにする、滅ぼす、同「翦」。
日高さや長さを同じにする、欠けや乱れがないよう整える。",揃 → JPDB Kanji Freq: 1206,漢字の読みを入力してください,Text
__睨__む，__睨__合う，__睨__めっこ,にら,"［睨］一級
音: ゲイ／ゲ 訓: にら・む
意味: (顔を正面に向けずに)横目・下目・上目など(目をしっかり見開かずに)目を細めて見る。
光が斜めから差す。
睥睨(ヘイゲイ)、見下(みくだ)す、睨(にら)み見る、同「俾倪」。",睨 → JPDB Kanji Freq: 1213,漢字の読みを入力してください,Text
__濡__らす，しょぼ__濡__れる,ぬ,"［濡］準一級
音: ジュ／ニュウ 訓: ぬ・れる／ぬ・らす
意味: ものの表面に水や水滴が付着フチャクする。
水分が浸透シントウする、湿り気を帯(お)びる、潤(うるお)う。
霑濡(テンジュ)雨に濡(ぬ)れるさま、びっしょりと(或いはしっとりと)濡れるさま潤うさま、恵(めぐ)みを授(さず)かるさま。
濡忍(ジュニン)、(降る雨に、降りかかった災難や蒙った恥辱チジョクに)じっと耐(た)える、耐え忍(しの)ぶ。
濡滞(ジュタイ)、(雨に濡れることを恐れて出発を)なかなか決断ケツダンできない、或いは決断しない。",濡 → JPDB Kanji Freq: 1227,漢字の読みを入力してください,Text
__覗__き，差__覗__く,のぞ,"［覗］準一級
音: シ 訓: うかが・う／のぞ・く
意味: 小さい孔や隙間を通して見る、同「伺」「𥄶」。",覗 → JPDB Kanji Freq: 1231,漢字の読みを入力してください,Text
毛__槍__,やり,"［槍］準一級
音: ショウ／ソウ 訓: やり
意味: 長い棒の先に矛(ほこ、両刃の剣)を付け突き刺せるようにした武器{武器(刀剣槍)}。
鉄砲、銃、同「鎗」。
突く、突き進む。
田畑の土を掘り起こして雑草を取り除く道具、鋤(すき)、同「耨」。",槍 → JPDB Kanji Freq: 1256,漢字の読みを入力してください,Text
__乃__ち,すなわ,"［乃］準一級
音: ダイ／ナイ 訓: すなわ・ち／なんじ／の
意味: すなわ・ち、つまり～、要するに～、従って～、～であるから～、～して～、so、therefore、同「迺」。
汝なんじ、あなた、君、you。
日「の」「～の～」に当てる漢字、「の」は「乃」の草体から作られたひらがな、同「廼」。",乃 → JPDB Kanji Freq: 1258,漢字の読みを入力してください,Text
天__之__邪鬼，承知__之__助,の,"［之］準一級
音: シ 訓: の／これ
意味: ～に向かって往(い)く。
～の～、of。
これ、この、this。
それ、その、あれ、あの、that。",之 → JPDB Kanji Freq: 1262,漢字の読みを入力してください,Text
__喋__る，御__喋__り,しゃべ,"［喋］準一級
音: チョウ／ジョウ 訓: しゃべ・る
意味: 考えもなしにぺらぺらと話す、舌がよく回る。
舌先でぺろぺろと舐(な)める。",喋 → JPDB Kanji Freq: 1276,漢字の読みを入力してください,Text
__云__う,い,"［云］準一級
音: ウン 訓: い・う
意味: (他からの伝聞や引用などの言葉に続けて、～は、～によれば)～と言う。
「雲」。",云 → JPDB Kanji Freq: 1280,漢字の読みを入力してください,Text
歯__噛__み，__噛__み付く,か,"［噛］準一級
音: ゴウ／ギョウ／ゲツ／ゲチ／コウ 訓: か・む
意味: 歯で咬(か)む、齧(かじ)る、同「齧」。",噛 → JPDB Kanji Freq: 1282,漢字の読みを入力してください,Text
__溢__れ出る，__溢__れる,あふ,"［溢］準一級
音: イツ／イチ 訓: あふ・れる
意味: 一杯になってもうそれ以上は収(おさ)まらなくなる、入り切らずに零(こぼ)れ出る。
過大な、過ぎる。
満ちる、一杯になる。
齊国(周代から春秋・戦国代にあった国名)の量の単位、片手一杯分の量。",溢 → JPDB Kanji Freq: 1289,漢字の読みを入力してください,Text
鵜__呑__み，湯__呑__み，息を__呑__む,の,"［呑］準一級
音: トン／ドン 訓: の・む
意味: 口に入れたものを噛(か)まずに嚥下、咽下(エンカ・エンゲ)する、丸のまま飲み込む。
相手を飲み込む、丸飲みにする、、兼吞(ケンドン)(他国を自国の支配下に併合すること、併呑ヘイドン)」。",呑 → JPDB Kanji Freq: 1318,漢字の読みを入力してください,Text
一匹__狼__,おおかみ,"［狼］準一級
音: ロウ 訓: おおかみ
意味: 狼(オオカミ)、イヌ科の哺乳類。
狼狽(ロウバイ)、(「狼」は後足が「狽」は前足が短いため常に一緒に行動するという、この二頭が別々に行動しようとすると上手く動けないことから)慌てふためく、困り果てる。
狼籍(ロウゼキ)、ものが散らかっているさま、また散らかすさま。",狼 → JPDB Kanji Freq: 1322,漢字の読みを入力してください,Text
__訊__ねる,たず,"［訊］準一級
音: ジン／シン 訓: たず・ねる
意味: (上位者が下位者に)(矢継ぎ早に)(特に罪を)問う、問い質(ただ)す、詰問する、尋問する。
音信、便り。",訊 → JPDB Kanji Freq: 1324,漢字の読みを入力してください,Text
"__怯__む
①麻痺する。しびれる。なえる。
②傷などを受けて気力がくじける。",ひる,"［怯］準一級
音: キョウ／コウ 訓: おび・える／ひる・む
意味: 恐がってびくびくする(おどおどする)、後込(しりご)みする、同「㹤」。
小心なさま、臆病なさま、肝(きも)が小さいさま、怯懦(キョウダ)。",怯 → JPDB Kanji Freq: 1328,漢字の読みを入力してください,Text
__怯__える・脅える,おび,"［怯］準一級
音: キョウ／コウ 訓: おび・える／ひる・む
意味: 恐がってびくびくする(おどおどする)、後込(しりご)みする、同「㹤」。
小心なさま、臆病なさま、肝(きも)が小さいさま、怯懦(キョウダ)。",怯 → JPDB Kanji Freq: 1328,漢字の読みを入力してください,Text
__也__，可__也__,なり,"［也］準一級
音: ヤ 訓: なり／や
意味: ～なり、～である、句末に付けて断定・肯定を表す。
～や、～か？、～であろうか、句末に付けて疑問・疑義を表す。
～や～、～は～、前句を受け説明・解釈・強調などを表す。
～また～、～も同様に～",也 → JPDB Kanji Freq: 1344,漢字の読みを入力してください,Text
__舐__める，__舐__め回す,な,"［舐］一級
音: シ／ジ 訓: な・める
意味: 舌先で撫(な)でるようにする、舌先で掬(すく)い取る。",舐 → JPDB Kanji Freq: 1365,漢字の読みを入力してください,Text
__膣__内,ちつ,"［膣］一級
音: チツ／チチ 訓: 
意味: 女性の生殖器の一部で陰門から子宮頸部までの間。",膣 → JPDB Kanji Freq: 1368,漢字の読みを入力してください,Text
__喧__しい,やかま,"［喧］準一級
音: ケン／コン 訓: かまびす・しい／やかま・しい
意味: 大勢の人の声や多くの物の音が一度に耳に入ってくる、がやがやと騒々ソウゾウしい、わいわいと煩(うるさ)い、同「吅」「諠」。",喧 → JPDB Kanji Freq: 1402,漢字の読みを入力してください,Text
__歪__み，__歪__む,ゆが,"［歪］準一級
音: ワイ／エ 訓: ゆが・む／ひず・む／いびつ
意味: 正しくない、曲がる、傾(かたむ)く、本来の形や状態と違っている、曲げる、本来の形や状態ではなくなるようにする。",歪 → JPDB Kanji Freq: 1404,漢字の読みを入力してください,Text
"__歪__み，__歪__む
正しい状態からずれて、ゆがむ。
「形が━・レンズを通すとひずんで見える・音が━」
☞ゆがむ。",ひず,"［歪］準一級
音: ワイ／エ 訓: ゆが・む／ひず・む／いびつ
意味: 正しくない、曲がる、傾(かたむ)く、本来の形や状態と違っている、曲げる、本来の形や状態ではなくなるようにする。",歪 → JPDB Kanji Freq: 1404,漢字の読みを入力してください,Text
__歪__,いびつ,"［歪］準一級
音: ワイ／エ 訓: ゆが・む／ひず・む／いびつ
意味: 正しくない、曲がる、傾(かたむ)く、本来の形や状態と違っている、曲げる、本来の形や状態ではなくなるようにする。",歪 → JPDB Kanji Freq: 1404,漢字の読みを入力してください,Text
__叶__う，__叶__える,かな,"［叶］準一級
音: キョウ／ギョウ／ヨウ 訓: かな・う
意味: 多くのものを程良く調和させる、調子を合わせる、同「協」「旪」。
草木の茎や枝から伸び出る葉、同繁「葉」。
日かな・う、願った通りになる。",叶 → JPDB Kanji Freq: 1424,漢字の読みを入力してください,Text
寝__惚__ける，自__惚__れる，__惚__れる,ぼ,"［惚］準一級
音: コツ／コチ 訓: ぼ・ける／ほ・れる
意味: ぼうっとして思考や行動が鈍くなる、ぼんやりするさま。
微(かす)かで見分けがつかないさま。
恍惚(コウコツ)頭が空っぽになって何も考えられないさま、ぼうっとするさま日心を奪われてうっとりするさま。
日。",惚 → JPDB Kanji Freq: 1438,漢字の読みを入力してください,Text
見__惚__れる (Rib - 遠くで居て),と,"［惚］準一級
音: コツ／コチ 訓: ぼ・ける／ほ・れる
意味: ぼうっとして思考や行動が鈍くなる、ぼんやりするさま。
微(かす)かで見分けがつかないさま。
恍惚(コウコツ)頭が空っぽになって何も考えられないさま、ぼうっとするさま日心を奪われてうっとりするさま。
日。",惚 → JPDB Kanji Freq: 1438,漢字の読みを入力してください,Text
__惚__気，__惚__気る,のろ,"［惚］準一級
音: コツ／コチ 訓: ぼ・ける／ほ・れる
意味: ぼうっとして思考や行動が鈍くなる、ぼんやりするさま。
微(かす)かで見分けがつかないさま。
恍惚(コウコツ)頭が空っぽになって何も考えられないさま、ぼうっとするさま日心を奪われてうっとりするさま。
日。",惚 → JPDB Kanji Freq: 1438,漢字の読みを入力してください,Text
__惚__れる，聞__惚__れる，__惚__れた腫れた，__惚__れ薬,ほ,"［惚］準一級
音: コツ／コチ 訓: ぼ・ける／ほ・れる
意味: ぼうっとして思考や行動が鈍くなる、ぼんやりするさま。
微(かす)かで見分けがつかないさま。
恍惚(コウコツ)頭が空っぽになって何も考えられないさま、ぼうっとするさま日心を奪われてうっとりするさま。
日。",惚 → JPDB Kanji Freq: 1438,漢字の読みを入力してください,Text
__馴__染，顔__馴__染み,な,"［馴］準一級
音: シュン／ジュン 訓: な・れ／な・らす／な・れる
意味: 人の指示に従うように(馬を)訓練する、訓練によって従うようになる。
従順な。
慣れる。",馴 → JPDB Kanji Freq: 1448,漢字の読みを入力してください,Text
__筈__，手__筈__,はず,"［筈］準一級
音: カツ／カチ 訓: はず
意味: 矢の手元側にある弦につがえる部分にある窪み{武器(弓箭)}。
日はず、～となることは当然である。",筈 → JPDB Kanji Freq: 1464,漢字の読みを入力してください,Text
__阿__鼻叫喚,あ,"［阿］準一級
音: ア 訓: おもね・る
意味: 大きな陵(リョウ、土山つちやま)。
隅すみ、隅っこ、奥深くまで入り込んだところ。
おもね・る、自分を曲げ相手に合わせて付き従う、諂(へつら)う、迎合ゲイゴウする。
親しみを込めて相手を呼ぶ語、阿母(アボ)(お母さん、また母親代わりの人に対してもいう)」、阿婆(アバ)(おばあさん)」、阿姨(アイ)(おばさん)」。",阿 → JPDB Kanji Freq: 1471,漢字の読みを入力してください,Text
喧__嘩__,か,"［嘩］準一級
音: カ 訓: 
意味: わいわいと話が聞き取れないほど喧(やかま)しい、がやがやと騒々ソウゾウしい、同「譁」。",嘩 → JPDB Kanji Freq: 1479,漢字の読みを入力してください,Text
__鎧__，__鎧__板,よろい,"［鎧］準一級
音: カイ／ガイ 訓: よろい
意味: 胴体部分(両肩・胴・腰)を守るための金属製の防具、皮製は「甲」。",鎧 → JPDB Kanji Freq: 1484,漢字の読みを入力してください,Text
叡__智__,ち,"［智］準一級
音: チ 訓: 
意味: 見知ったことを正しく理解する、物事の正否・是非を理解し判断できる、またそのような能力、智慧(チエ・チケイ)、「知」は「見知ること、認識すること」。
見識ケンシキがあるさま、賢(かしこ)いさま。",智 → JPDB Kanji Freq: 1490,漢字の読みを入力してください,Text
__葵__，古賀__葵__,あおい,"［葵］準一級
音: キ／ギ 訓: あおい
意味: 葵(アオイ)、アオイ科・フウロソウ科テンジクアオイ属・ウマノスズクサ科カンアオイ属などの植物の称{アオイ}。
野葵(ヤキ)、フユアオイ冬葵、アオイ科ゼニアオイ属の草{フユアオイ}。
天竺葵(テンジクキ)、テンジクアオイ天竺葵、フウロソウ科テンジクアオイ属の草{テンジクアオイ}。
向日葵(コウジツキ)、ヒマワリ向日葵、キク科ヒマワリ属の草{ヒマワリ}。
日、双葉葵(フタバアオイ)、ウマノスズクサ科カンアオイ属の草、徳川家の家紋はこの葉をデザインしたもの、漢名は、雙葉細辛(ソウヨウサイシン){フタバアオイ}。",葵 → JPDB Kanji Freq: 1495,漢字の読みを入力してください,Text
札__幌__，__幌__馬車,ほろ,"［幌］準一級
音: コウ／オウ 訓: ほろ
意味: もの(窓や髪など)を覆(おお)う布。
酒屋などの目印として掲げる幟(のほり)、幌子(コウシ・ホォンズ)、同「帘」「𣄐」。
看板、見せ掛け、外見ガイケン。
日母衣(ほろ)、矢などを防ぐために背負う布また袋、同「縨」。",幌 → JPDB Kanji Freq: 1512,漢字の読みを入力してください,Text
__纏__わる，__纏__る，這い__纏__わる,まつ,"［纏］準一級
音: テン／デン 訓: まと・う／まとい／まつ・る
意味: 周りから幾つかのものを解(ほつ)れないようにしっかりと付ける、「衣服を纏う」は「開(はだ)けたり脱げ落ちたりしないようにしっかりと身に着ける」の意。
幾つかのものしっかりと束ねて解(ほつ)れないようにする。
日まつ・る、布や衣服の縁(へり)を折り込んで縫う、「布の先が解(ほつ)れないようにする」の意。
日。",纏 → JPDB Kanji Freq: 1521,漢字の読みを入力してください,Text
__纏__まる，足手__纏__い，__纏__める,まと,"［纏］準一級
音: テン／デン 訓: まと・う／まとい／まつ・る
意味: 周りから幾つかのものを解(ほつ)れないようにしっかりと付ける、「衣服を纏う」は「開(はだ)けたり脱げ落ちたりしないようにしっかりと身に着ける」の意。
幾つかのものしっかりと束ねて解(ほつ)れないようにする。
日まつ・る、布や衣服の縁(へり)を折り込んで縫う、「布の先が解(ほつ)れないようにする」の意。
日。",纏 → JPDB Kanji Freq: 1521,漢字の読みを入力してください,Text
__騙__り，__騙__る,かた,"［騙］一級
音: ヘン 訓: だま・す／かた・る
意味: ひらりと馬に飛び乗る、同「騗」「𩤬」。
だま・す、かた・る、本当ではないことを本当のことだと巧みに信じ込ませる、誑(たぶら)かす、欺(あざむ)く、哄騙(コウヘン)。",騙 → JPDB Kanji Freq: 1530,漢字の読みを入力してください,Text
__騙__し込む，__騙__す，__騙__し討ち,だま,"［騙］一級
音: ヘン 訓: だま・す／かた・る
意味: ひらりと馬に飛び乗る、同「騗」「𩤬」。
だま・す、かた・る、本当ではないことを本当のことだと巧みに信じ込ませる、誑(たぶら)かす、欺(あざむ)く、哄騙(コウヘン)。",騙 → JPDB Kanji Freq: 1530,漢字の読みを入力してください,Text
__勿__体，__勿__論，__勿__怪,"もち,もっ","［勿］準一級
音: ブツ／モチ 訓: なか・れ
意味: なか・れ、～するな、禁止の助字。
～ない、～しない、～でない、否定の助字。
勿吉(モツキチ)、南北朝時代(420年～589年)現中国北東部吉林省・黒竜江省から極東ロシア南部沿海地方・ハバロフスク地方一帯に住んでいた遊牧民族の名、隋代(581年～618年)以降は靺鞨マツカツと呼ばれるようになる{南北朝時代}。",勿 → JPDB Kanji Freq: 1532,漢字の読みを入力してください,Text
"__這__い蹲る，__這__上がる
__這__う__這__うの体","は,ほ","［這］準一級
音: シャ 訓: は・う
意味: 迎える、客を出迎える、同「訝」「迓」。
これ、この、それ、その、this、這麼(シャマ・ジャマァ)(～のような、～のように)」。
日は・う、手足を地に着けて進む。",這 → JPDB Kanji Freq: 1536,漢字の読みを入力してください,Text
__杖__，側__杖__,つえ,"［杖］準一級
音: チョウ／ジョウ 訓: つえ
意味: 歩行を助けるための長い棒、棒を突いて体を支える。
頼(たよ)る、頼りにする。
長い棒、罪人を打ち据(す)えるための棒、突いたり叩(たた)いたりする武器としての棒。",杖 → JPDB Kanji Freq: 1537,漢字の読みを入力してください,Text
__此__奴，__此__処，彼方__此__方,こ,"［此］準一級
音: シ 訓: この／これ／ここ
意味: この、これ、それ、その、this、近くのものを指す語、近くにないものを指す語は、彼(ヒ)(かの、かれ)」。
こちらの、、彼此(ヒシ)(あれとこれ、あちらとこちら)」。
斯(か)くて、則(すなわ)ち。",此 → JPDB Kanji Freq: 1559,漢字の読みを入力してください,Text
藻__掻__く，足__掻__く，__掻__い潜る，__掻__い摘む,か,"［掻］準一級
音: ソウ 訓: か・く
意味: 爪を立て引っ掛けるようにして引く、また爪立ててものを寄せ集める。
騒ぐ、同「騒」。
日手を忙(せわ)しく動かすさま。",掻 → JPDB Kanji Freq: 1561,漢字の読みを入力してください,Text
__辿__る，__辿__着く，__辿__読み,たど,"［辿］準一級
音: テン 訓: たど・る
意味: 確認しながら或いは探しながら一歩一歩(ゆっくりと)進む。",辿 → JPDB Kanji Freq: 1566,漢字の読みを入力してください,Text
__蒼__い，__蒼__白い,あお,"［蒼］準一級
音: ソウ 訓: あお／あお・い
意味: 深い青色、緑がかった濃い青色。
上蒼(ジョウソウ)、天テン、頭上高くにあって地に存在する万物を創造・采配するもの。
青黒いさま、青褪(蒼褪、あおざ)めるさま。
慌(あわただ)しいさま、忙(せわ)しいさま、同「倉」。
蒼耳(ソウジ)、オナモミ葈耳、キク科オナモミ属の草{オナモミ}。",蒼 → JPDB Kanji Freq: 1569,漢字の読みを入力してください,Text
復__讐__，怨__讐__,しゅう,"［讐］一級
音: シュウ／ジュ 訓: 
意味: 相手の問いに答える、また働きかけに応(こた)える、同「𢢧」「𠵁」。
対等に付き合う相手、行動を共にする人、二人で対したときの相手、同「𢛇」。
相手に報(むく)いる。
相手を怨(うら)む、怨みを持つ相手、同「仇」。
字句の間違いを正す。",讐 → JPDB Kanji Freq: 1574,漢字の読みを入力してください,Text
枢機__卿__，レイモンド__卿__（シロナガス島への帰還）,きょう,"［卿］
音:  訓: 
意味: ",卿 → JPDB Kanji Freq: 1586,漢字の読みを入力してください,Text
__凛__々しい,り,"［凛］一級
音: リン 訓: 
意味: (凍り付くほどに)寒い、冷たい、同「澟」。",凛 → JPDB Kanji Freq: 1588,漢字の読みを入力してください,Text
__揉__む，__揉__める，__揉__め事，__揉__み洗い,も,"［揉］一級
音: ジュウ／ニュウ 訓: も・む
意味: 曲げたり伸ばしたりする、またそうして柔らかくする。
おとなしくさせる、懐柔(カイジュウ)する。",揉 → JPDB Kanji Freq: 1592,漢字の読みを入力してください,Text
__駒__落ち，__駒__,こま,"［駒］二級
音: ク 訓: こま
意味: (体の小さい)二歳馬。
幼獣(ヨウジュウ)。
若く体は小さいが元気なさま、未熟だが元気な若者(わかもの)。
日将棋やチェスchessなどの盤ゲームboard。",駒 → JPDB Kanji Freq: 1595,漢字の読みを入力してください,Text
__翔__る，飛び__翔__る,かけ,"［翔］一級
音: ショウ／ゾウ 訓: か・ける
意味: 翼(つばさ)を大きく広げて飛ぶ、また飛び回る。
(鳥が翼を広げるように)両腕を大きく振って行く。
詳(くわ)しい。",翔 → JPDB Kanji Freq: 1607,漢字の読みを入力してください,Text
羅__紗__，寒冷__紗__，袱__紗__,"さ,しゃ","［紗］準一級
音: サ／シャ 訓: うすぎぬ
意味: 細い糸、絹糸ケンシ(きぬいと)、綿糸(メンシ)・麻糸(あさいと)などの細いもの、同「㠺」。
細糸を使った薄く軽い布、またその布を使った布製品。",紗 → JPDB Kanji Freq: 1609,漢字の読みを入力してください,Text
__杏__子・__杏__，__杏__仁豆腐,"あん,あんず","［杏］準一級
音: コウ／ギョウ／アン／キョウ 訓: あんず
意味: 杏(アンズ)・杏子、バラ科スモモ属の果樹{アンズ}。
杏仁(キョウニン・アンニン)、杏(アンズ)・杏子の種子の殻を取ったもの、薬用とされる。
銀杏(ギンナン)、イチョウ銀杏・公孫樹・鴨脚樹、イチョウ科イチョウ属の木、またその実、また同科同属の植物の称{イチョウ}。",杏 → JPDB Kanji Freq: 1612,漢字の読みを入力してください,Text
__茉莉__，__茉莉__花,まつり,"［莉］一級
音: リ／レイ／ライ 訓: 
意味: 茉莉(マツリ)、茉莉花(マツリカ)、アラビア・ジャスミンArabianjasmine、モクセイ科ソケイ属の木{マツリカ}。","莉 → JPDB Kanji Freq: 1613
茉 → JPDB Kanji Freq: 2116",漢字の読みを入力してください,Text
__罠__に掛かる，__罠__猟,わな,"［罠］一級
音: ビン／ミン 訓: わな
意味: 鳥獣を捕(とら)らえる網、同「䋋」。
日魚や鳥獣を捕らえる網や落とし穴などの仕掛け、人を陥(おとしい)れる仕掛け、また策略。",罠 → JPDB Kanji Freq: 1622,漢字の読みを入力してください,Text
言葉の__綾__，__綾__取り,あや,"［綾］準一級
音: リョウ／リン 訓: あや
意味: 光沢があり凹凸感のある模様を織り込んだ薄絹、厚手のものは、緞子(ドンス)。
細かい(入り組んだ)模様が織り込まれた(描かれた)もの。
日柄(がら)が斜めに見えるように織り上げた織物入り組んでいるさま。",綾 → JPDB Kanji Freq: 1624,漢字の読みを入力してください,Text
__蘇__る・甦る,よみがえ,"［蘇］準一級
音: ソ／ス 訓: よみがえ・る
意味: 紫蘇(シソ)などのシソ科シソ属の草の称{シソ}。
雑草を取り除く、同「穌」。
滞(とどこお)っていたもの(血液や気)が流れ始める。
息を吹き返す、(眠りや迷いなどから)醒(さ)める。
生き返る、黄泉(よみ、死者の世界)から帰って来る、蘇生(ソセイ)、同「穌」「甦」。
屠蘇(トソ)、病除けのために正月に飲む酒。
「江蘇省」「江蘇省蘇州市」の簡称{江蘇省}。",蘇 → JPDB Kanji Freq: 1627,漢字の読みを入力してください,Text
お__爺__さん・御__爺__さん,じい,"［爺］準一級
音: ヤ 訓: じじ／じい／じじい
意味: 父(ちち)、父親、お父さん。
日老年の男性。",爺 → JPDB Kanji Freq: 1637,漢字の読みを入力してください,Text
