Question,Answers,Comment,freq_jpdb,moyenne_freq
情報,"じょうほう",読みを入力してください,618,181
意識,"いしき",読みを入力してください,619,241
結局,"けっきょく",読みを入力してください,625,318
全然,"ぜんぜん",読みを入力してください,627,96
失礼,"しつれい,しつらい,しちらい",読みを入力してください,635,287
背中,"せなか",読みを入力してください,638,183
反応,"はんのう,はんおう",読みを入力してください,639,258
約束,"やくそく",読みを入力してください,644,412
事実,"じじつ",読みを入力してください,649,51
行動,"こうどう",読みを入力してください,652,36
突然,"とつぜん",読みを入力してください,653,193
友達,"ともだち",読みを入力してください,654,204
自身,"じしん",読みを入力してください,658,57
想像,"そうぞう",読みを入力してください,659,380
全員,"ぜんいん,ぜいいん",読みを入力してください,666,127
空気,"くうき",読みを入力してください,669,88
一体,"いったい",読みを入力してください,675,23
程度,"ていど",読みを入力してください,677,246
気分,"きぶん",読みを入力してください,683,10
仲間,"ちゅうげん,なかま",読みを入力してください,691,181
感情,"かんじょう",読みを入力してください,695,93
結構,"けっこう",読みを入力してください,697,216
危険,"きけん",読みを入力してください,699,433
以前,"いぜん",読みを入力してください,700,75
本気,"ほんき",読みを入力してください,712,18
正直,"しょうじき",読みを入力してください,714,166
事件,"じけん",読みを入力してください,716,145
周囲,"しゅうい",読みを入力してください,721,435
返事,"へんじ",読みを入力してください,726,90
結婚,"けっこん",読みを入力してください,732,243
会話,"かいわ",読みを入力してください,734,36
邪魔,"じゃま",読みを入力してください,737,291
部分,"ぶぶん",読みを入力してください,744,26
無事,"ぶじ",読みを入力してください,745,33
意外,"いがい",読みを入力してください,751,84
人生,"じんせい",読みを入力してください,759,11
料理,"りょうり",読みを入力してください,764,197
納得,"なっとく",読みを入力してください,772,515
必死,"ひっし",読みを入力してください,779,140
判断,"はんだん",読みを入力してください,791,390
報告,"ほうこく",読みを入力してください,794,286
食事,"しょくじ",読みを入力してください,795,45
緊張,"きんちょう",読みを入力してください,796,474
感謝,"かんしゃ",読みを入力してください,800,296
日本,"にほん,にっぽん",読みを入力してください,803,16
連絡,"れんらく",読みを入力してください,807,322
一応,"いちおう",読みを入力してください,818,118
特別,"とくべつ",読みを入力してください,819,217
時代,"じだい",読みを入力してください,822,84
素直,"すなお",読みを入力してください,832,240
態度,"たいど",読みを入力してください,834,191
失敗,"しっぱい",読みを入力してください,835,443
内容,"ないよう",読みを入力してください,840,321
冗談,"じょうだん",読みを入力してください,845,732
移動,"いどう",読みを入力してください,852,284
過去,"かこ",読みを入力してください,853,336
余裕,"よゆう",読みを入力してください,856,708
質問,"しつもん",読みを入力してください,863,328
人々,"にんにん,ひとびと",読みを入力してください,864,1
現実,"げんじつ",読みを入力してください,866,120
感覚,"かんかく",読みを入力してください,867,115
未来,"みらい",読みを入力してください,869,255
興味,"きょうみ",読みを入力してください,870,341
本人,"ほんにん",読みを入力してください,873,13
能力,"のうりき,のうりょく",読みを入力してください,874,110
事情,"じじょう",読みを入力してください,880,76
一緒,"いっしょ",読みを入力してください,885,88
予定,"よてい",読みを入力してください,890,220
距離,"きょり",読みを入力してください,892,560
残念,"ざんねん",読みを入力してください,895,295
覚悟,"かくご",読みを入力してください,898,514
勉強,"べんきょう",読みを入力してください,899,430
自信,"じしん",読みを入力してください,906,92
我慢,"がまん",読みを入力してください,907,516
相談,"そうだん",読みを入力してください,908,303
半分,"はんぶん,はんぷん",読みを入力してください,912,164
人物,"じんぶつ",読みを入力してください,913,29
経験,"けいけん",読みを入力してください,924,417
現在,"げんざい",読みを入力してください,927,203
直接,"ちょくせつ",読みを入力してください,933,354
他人,"たにん,ひと,あだびと",読みを入力してください,942,127
母親,"ははおや",読みを入力してください,943,207
協力,"きょうりょく",読みを入力してください,954,374
変化,"へんか,へんげ",読みを入力してください,963,148
男性,"だんせい",読みを入力してください,964,102
利用,"りよう",読みを入力してください,968,222
最高,"さいこう",読みを入力してください,973,73
満足,"まんぞく",読みを入力してください,974,306
無視,"むし",読みを入力してください,975,150
余計,"よけい",読みを入力してください,976,407
成功,"せいこう",読みを入力してください,979,566
父親,"ちちおや,てておや",読みを入力してください,983,190
写真,"しゃしん",読みを入力してください,988,325
否定,"ひてい",読みを入力してください,990,511
面倒,"めんどう",読みを入力してください,992,200
参加,"さんか",読みを入力してください,1000,378
機会,"きかい",読みを入力してください,1007,121
大人,"だいにん,うし,おおびと,おとな,たいじん",読みを入力してください,1009,4
秘密,"ひみつ",読みを入力してください,1023,672
位置,"いち",読みを入力してください,1036,293
方向,"ほうこう",読みを入力してください,1037,60
一部,"いちぶ",読みを入力してください,1039,23
調子,"ちょうし",読みを入力してください,1043,120
平気,"へいき",読みを入力してください,1047,152
実際,"じっさい",読みを入力してください,1062,255
第一,"だいいち",読みを入力してください,1067,139
友人,"ゆうじん",読みを入力してください,1068,160
練習,"れんしゅう",読みを入力してください,1069,488
性格,"せいかく",読みを入力してください,1078,227
今後,"こんご",読みを入力してください,1082,28
発見,"はっけん",読みを入力してください,1083,59
希望,"きぼう",読みを入力してください,1086,572
集中,"しゅうちゅう",読みを入力してください,1088,137
効果,"こうか",読みを入力してください,1090,460
意見,"いけん",読みを入力してください,1091,35
息子,"むすこ",読みを入力してください,1094,149
証拠,"しょうこ",読みを入力してください,1097,656
遠慮,"えんりょ",読みを入力してください,1100,698
影響,"えいきょう",読みを入力してください,1106,539
相当,"そうとう",読みを入力してください,1107,78
建物,"たてもの",読みを入力してください,1110,411
重要,"じゅうよう",読みを入力してください,1112,202
後悔,"こうかい",読みを入力してください,1114,426
紹介,"しょうかい",読みを入力してください,1117,858
疑問,"ぎもん",読みを入力してください,1118,377
予想,"よそう",読みを入力してください,1122,277
努力,"どりょく",読みを入力してください,1124,619
立派,"りっぱ",読みを入力してください,1126,345
確実,"かくじつ",読みを入力してください,1128,101
当時,"とうじ",読みを入力してください,1129,32
責任,"せきにん",読みを入力してください,1133,522
偶然,"ぐうぜん",読みを入力してください,1134,694
作業,"さぎょう",読みを入力してください,1135,143
運命,"うんめい,さだめ",読みを入力してください,1136,251
可能,"かのう",読みを入力してください,1141,188
非常,"ひじょう",読みを入力してください,1143,537
一歩,"いっぽ",読みを入力してください,1144,132
得意,"とくい",読みを入力してください,1151,163
成長,"せいちょう",読みを入力してください,1155,130
本来,"ほんらい",読みを入力してください,1157,26
注意,"ちゅうい",読みを入力してください,1159,285
計画,"けいかく",読みを入力してください,1162,311
解決,"かいけつ",読みを入力してください,1168,144
混乱,"こんらん",読みを入力してください,1172,693
案内,"あんない,あない",読みを入力してください,1173,337
事態,"じたい",読みを入力してください,1176,175
行為,"こうい",読みを入力してください,1177,328
中心,"ちゅうしん,なかご",読みを入力してください,1181,40
条件,"じょうけん",読みを入力してください,1182,537
展開,"てんかい",読みを入力してください,1186,504
一切,"いっさい",読みを入力してください,1190,59
迷惑,"めいわく",読みを入力してください,1191,534
日々,"ひび,にちにち,ひにち",読みを入力してください,1200,6
苦労,"くろう",読みを入力してください,1210,511
信用,"しんよう",読みを入力してください,1212,139
唯一,"ゆいいつ,ゆいつ,ゆういつ",読みを入力してください,1213,619
到着,"とうちゃく",読みを入力してください,1217,546
価値,"かち",読みを入力してください,1221,705
対応,"たいおう",読みを入力してください,1222,167
有名,"ゆうめい",読みを入力してください,1227,244
反対,"はんたい",読みを入力してください,1228,191
安全,"あんぜん,あんせん",読みを入力してください,1229,129
午後,"ごご",読みを入力してください,1233,460
活動,"かつどう",読みを入力してください,1235,180
時期,"じき",読みを入力してください,1236,161
正確,"せいかく",読みを入力してください,1238,143
以来,"いらい",読みを入力してください,1239,82
完成,"かんせい",読みを入力してください,1241,283
一生,"いっしょう",読みを入力してください,1252,12
信頼,"しんらい",読みを入力してください,1253,193
不満,"ふまん",読みを入力してください,1254,273
全体,"ぜんたい",読みを入力してください,1256,44
病気,"やまいけ,びょうき",読みを入力してください,1258,217
複雑,"ふくざつ",読みを入力してください,1259,965
対象,"たいしょう",読みを入力してください,1276,342
最大,"さいだい",読みを入力してください,1282,31
将来,"しょうらい",読みを入力してください,1285,329
種類,"しゅるい",読みを入力してください,1286,616
決定,"けってい",読みを入力してください,1293,141
視線,"しせん",読みを入力してください,1299,245
少女,"おとめ,しょうじょ",読みを入力してください,1306,48
先輩,"せんぱい",読みを入力してください,1312,160
攻撃,"こうげき",読みを入力してください,1322,281
三人,"さんにん,みたり",読みを入力してください,1339,101
少年,"しょうねん",読みを入力してください,1348,51
我々,"われわれ",読みを入力してください,1363,223
地面,"じめん",読みを入力してください,1369,92
全身,"ぜんしん",読みを入力してください,1377,66
連中,"れんちゅう,れんじゅう,れんぢゅう",読みを入力してください,1378,82
気配,"けはい,きはい",読みを入力してください,1382,115
廊下,"ろうか",読みを入力してください,1385,606
色々,"いろいろ",読みを入力してください,1388,205
生徒,"せいと",読みを入力してください,1394,265
背後,"はいご",読みを入力してください,1403,193
普段,"ふだん",読みを入力してください,1406,377
綺麗,"きれい",読みを入力してください,1407,872
手紙,"てがみ",読みを入力してください,1408,313
電話,"でんわ",読みを入力してください,1411,135
挨拶,"あいさつ",読みを入力してください,1415,1134
無駄,"むだ",読みを入力してください,1418,274
駄目,"だめ",読みを入力してください,1426,265
巨大,"きょだい",読みを入力してください,1427,391
光景,"こうけい",読みを入力してください,1428,503
多分,"たぶん",読みを入力してください,1429,102
武器,"ぶき",読みを入力してください,1438,445
椅子,"いす,いし",読みを入力してください,1440,627
恐怖,"きょうふ,くふ",読みを入力してください,1443,387
命令,"めいれい",読みを入力してください,1445,413
格好,"かっこう,かっこ",読みを入力してください,1453,221
階段,"かいだん",読みを入力してください,1464,471
勝負,"しょうぶ",読みを入力してください,1471,198
本物,"ほんもの",読みを入力してください,1473,41
真剣,"しんけん",読みを入力してください,1476,235
教室,"きょうしつ",読みを入力してください,1480,221
口調,"くちょう",読みを入力してください,1485,167
視界,"しかい",読みを入力してください,1493,194
限界,"げんかい",読みを入力してください,1495,231
作戦,"さくせん",読みを入力してください,1496,73
右手,"みぎて,めて",読みを入力してください,1505,290
馬鹿,"ばか",読みを入力してください,1510,523
適当,"てきとう",読みを入力してください,1511,436
一言,"ひとこと,いちげん,いちごん",読みを入力してください,1514,3
心臓,"しんぞう",読みを入力してください,1515,542
味方,"みかた",読みを入力してください,1527,64
両親,"りょうしん,ふたおや",読みを入力してください,1530,310
荷物,"にもつ",読みを入力してください,1532,492
警戒,"けいかい",読みを入力してください,1535,723
興奮,"こうふん",読みを入力してください,1542,885
指示,"しじ,しし",読みを入力してください,1545,361
随分,"ずいぶん",読みを入力してください,1555,559
警察,"けいさつ",読みを入力してください,1563,400
冷静,"れいせい",読みを入力してください,1567,493
衝撃,"しょうげき",読みを入力してください,1572,598
多少,"たしょう",読みを入力してください,1575,132
同士,"どうし,どし",読みを入力してください,1576,124
恋人,"こいびと",読みを入力してください,1579,249
病院,"びょういん",読みを入力してください,1582,408
開始,"かいし",読みを入力してください,1586,159
提案,"ていあん",読みを入力してください,1593,641
一本,"いっぽん",読みを入力してください,1595,14
真実,"しんじつ,しんじち",読みを入力してください,1599,104
研究,"けんきゅう",読みを入力してください,1600,682
身体,"しんたい,しんだい,しんてい,からだ",読みを入力してください,1603,64
回復,"かいふく",読みを入力してください,1608,312
知識,"ちしき",読みを入力してください,1610,232
抵抗,"ていこう",読みを入力してください,1612,1034
犯人,"はんにん",読みを入力してください,1614,235
文字,"もじ,もんじ",読みを入力してください,1620,433
苦手,"にがて",読みを入力してください,1621,153
解放,"かいほう",読みを入力してください,1623,200
見事,"みごと",読みを入力してください,1628,11
破壊,"はかい",読みを入力してください,1635,482
今夜,"こんや",読みを入力してください,1638,122
単純,"たんじゅん",読みを入力してください,1641,641
中身,"あてみ,なかみ",読みを入力してください,1643,55
完璧,"かんぺき",読みを入力してください,1648,827
全力,"ぜんりょく",読みを入力してください,1650,44
無言,"しじま,むごん",読みを入力してください,1651,25
技術,"ぎじゅつ",読みを入力してください,1655,402
大量,"たいりょう",読みを入力してください,1658,307
沈黙,"しじま,ちんもく",読みを入力してください,1659,765
感触,"かんしょく",読みを入力してください,1660,230
思考,"しこう",読みを入力してください,1661,57
会社,"かいしゃ",読みを入力してください,1667,126
趣味,"しゅみ",読みを入力してください,1670,653
何者,"なにもの",読みを入力してください,1675,21
異常,"いじょう",読みを入力してください,1679,421
中央,"ちゅうおう",読みを入力してください,1680,507
正体,"しょうたい",読みを入力してください,1682,105
戦争,"せんそう",読みを入力してください,1684,402
左右,"さゆう,そう,とかく",読みを入力してください,1687,596
授業,"じゅぎょう",読みを入力してください,1693,472
天井,"てんじょう",読みを入力してください,1706,438
確信,"かくしん",読みを入力してください,1713,137
悲鳴,"ひめい",読みを入力してください,1717,514
話題,"わだい",読みを入力してください,1720,147
認識,"にんしき",読みを入力してください,1721,351
制服,"せいふく",読みを入力してください,1730,421
許可,"きょか",読みを入力してください,1734,287
人形,"ひとがた,にんぎょう",読みを入力してください,1740,170
了解,"りょうかい",読みを入力してください,1745,373
発言,"はつげん",読みを入力してください,1746,57
手段,"しゅだん",読みを入力してください,1750,208
最悪,"さいあく",読みを入力してください,1751,74
誤解,"ごかい",読みを入力してください,1754,559
告白,"こくはく",読みを入力してください,1758,259
呼吸,"こきゅう",読みを入力してください,1765,408
同様,"どうよう",読みを入力してください,1769,48
自覚,"じかく",読みを入力してください,1773,103
爆発,"ばくはつ",読みを入力してください,1777,300
動揺,"どうよう",読みを入力してください,1778,393
自体,"じたい",読みを入力してください,1783,35
精神,"せいしん",読みを入力してください,1789,258
文句,"もんく",読みを入力してください,1792,660
時点,"じてん",読みを入力してください,1794,139
発生,"はっせい",読みを入力してください,1795,66
掃除,"そうじ",読みを入力してください,1804,854
道具,"どうぐ",読みを入力してください,1808,367
現場,"げんば,げんじょう",読みを入力してください,1809,108
歴史,"れきし",読みを入力してください,1811,889
依頼,"いらい",読みを入力してください,1812,510
足音,"あしおと",読みを入力してください,1813,133
第二,"だいに",読みを入力してください,1820,180
大学,"だいがく",読みを入力してください,1835,40
素敵,"すてき",読みを入力してください,1839,312
少々,"しょうしょう",読みを入力してください,1840,69
微妙,"みみょう,びみょう",読みを入力してください,1842,661
担当,"たんとう",読みを入力してください,1843,414
怪我,"けが",読みを入力してください,1845,380
三十,"さんじゅう,みそ",読みを入力してください,1850,235
直後,"ちょくご",読みを入力してください,1851,104
調査,"ちょうさ",読みを入力してください,1852,370
今年,"ことし,こんねん",読みを入力してください,1853,22
応援,"おうえん",読みを入力してください,1854,458
使用,"しよう",読みを入力してください,1855,114
早速,"さっそく",読みを入力してください,1857,262
玄関,"げんかん",読みを入力してください,1858,757
予感,"よかん",読みを入力してください,1860,170
片手,"かたて",読みを入力してください,1862,294
速度,"そくど",読みを入力してください,1864,216
刺激,"しげき",読みを入力してください,1868,626
物語,"ものがたり",読みを入力してください,1869,195
男子,"だんし",読みを入力してください,1870,57
印象,"いんしょう",読みを入力してください,1877,646
意志,"いし",読みを入力してください,1883,417
勝利,"しょうり",読みを入力してください,1887,224
意思,"いし",読みを入力してください,1888,40
太陽,"たいよう",読みを入力してください,1892,609
大体,"だいたい",読みを入力してください,1895,25
才能,"さいのう",読みを入力してください,1896,543
選択,"せんたく,せんだく",読みを入力してください,1900,712
東京,"とうきょう,とうけい",読みを入力してください,1905,203
真似,"まね",読みを入力してください,1909,289
部下,"ぶか",読みを入力してください,1915,44
優秀,"ゆうしゅう",読みを入力してください,1931,720
証明,"しょうめい",読みを入力してください,1942,287
支配,"しはい",読みを入力してください,1943,341
感心,"かんしん",読みを入力してください,1946,54
姿勢,"しせい",読みを入力してください,1947,369
先日,"せんじつ",読みを入力してください,1948,21
土地,"とち,どおじ,どじ,どち",読みを入力してください,1950,272
神様,"かみさま",読みを入力してください,1951,76
地下,"ちか",読みを入力してください,1954,58
承知,"しょうち",読みを入力してください,1955,533
年齢,"ねんれい",読みを入力してください,1958,667
事故,"じこ,ことゆえ",読みを入力してください,1961,265
訓練,"くんれん",読みを入力してください,1963,780
学生,"がくしょう,がくそう,がくせい",読みを入力してください,1964,46
用事,"ようじ",読みを入力してください,1965,70
一年,"いちねん,ひととし,ひととせ",読みを入力してください,1966,18
組織,"そしき,そしょく",読みを入力してください,1968,594
地上,"ちじょう",読みを入力してください,1969,47
把握,"はあく",読みを入力してください,1981,1084
勇気,"ゆうき",読みを入力してください,1991,366
表現,"ひょうげん",読みを入力してください,1994,173
記録,"きろく",読みを入力してください,1997,558
宣言,"せんげん",読みを入力してください,2004,613
体力,"たいりょく",読みを入力してください,2005,42
絶望,"ぜつぼう",読みを入力してください,2006,285
強引,"ごういん",読みを入力してください,2014,123
数日,"すうじつ",読みを入力してください,2019,104
決意,"けつい",読みを入力してください,2023,97
観察,"かんさつ",読みを入力してください,2027,510
丁寧,"ていねい",読みを入力してください,2044,1171
永遠,"えいえん,とわ",読みを入力してください,2049,695
評価,"ひょうか",読みを入力してください,2050,859
景色,"けしき,けいしょく",読みを入力してください,2051,474
美人,"びじん",読みを入力してください,2057,107
地獄,"じごく",読みを入力してください,2059,582
翌日,"よくじつ",読みを入力してください,2063,726
動物,"どうぶつ",読みを入力してください,2066,55
隙間,"すきま",読みを入力してください,2067,580
油断,"ゆだん",読みを入力してください,2069,683
特殊,"とくしゅ",読みを入力してください,2081,826
教師,"きょうし",読みを入力してください,2088,248
派手,"はで",読みを入力してください,2095,319
本日,"ほんじつ",読みを入力してください,2099,16
実力,"じつりょく",読みを入力してください,2102,63
次第,"しだい",読みを入力してください,2104,230
役目,"やくめ",読みを入力してください,2111,205
自慢,"じまん",読みを入力してください,2113,419
要求,"ようきゅう",読みを入力してください,2116,382
高校,"こうこう",読みを入力してください,2117,140
範囲,"はんい",読みを入力してください,2121,857
顔色,"かおいろ,がんしょく",読みを入力してください,2126,140
音楽,"おんがく",読みを入力してください,2127,120
映画,"えいが",読みを入力してください,2128,403
今朝,"けさ,こんちょう",読みを入力してください,2131,158
環境,"かんきょう",読みを入力してください,2137,1011
主張,"しゅちょう",読みを入力してください,2138,162
奇妙,"きみょう",読みを入力してください,2141,764
正解,"せいかい",読みを入力してください,2142,163
慎重,"しんちょう",読みを入力してください,2147,795
終了,"しゅうりょう",読みを入力してください,2158,369
出発,"しゅっぱつ",読みを入力してください,2163,60
機能,"きのう",読みを入力してください,2164,191
管理,"かんり",読みを入力してください,2167,449
純粋,"じゅんすい",読みを入力してください,2169,1177
卒業,"そつぎょう",読みを入力してください,2172,656
契約,"けいやく",読みを入力してください,2173,715
作品,"さくひん",読みを入力してください,2176,221
夕方,"ゆうがた",読みを入力してください,2182,407
確保,"かくほ",読みを入力してください,2184,271
現状,"げんじょう",読みを入力してください,2186,212
時々,"ときどき",読みを入力してください,2190,23
足元,"あしもと",読みを入力してください,2193,164
次々,"つぎつぎ",読みを入力してください,2198,186
社会,"しゃかい",読みを入力してください,2199,126
感動,"かんどう",読みを入力してください,2200,53
堂々,"どうどう",読みを入力してください,2202,824
不幸,"ふこう",読みを入力してください,2215,227
具合,"ぐあい,ぐわい",読みを入力してください,2221,310
舞台,"ぶたい",読みを入力してください,2225,502
教育,"きょういく",読みを入力してください,2226,325
機械,"きかい",読みを入力してください,2230,765
最低,"さいてい",読みを入力してください,2237,340
発表,"はっぴょう",読みを入力してください,2238,151
施設,"しせつ",読みを入力してください,2239,745
恋愛,"れんあい",読みを入力してください,2240,323
集団,"しゅうだん",読みを入力してください,2244,315
夫婦,"めおと,みょうと,ふうふ",読みを入力してください,2247,574
指摘,"してき",読みを入力してください,2254,758
監視,"かんし",読みを入力してください,2260,515
交渉,"こうしょう",読みを入力してください,2270,831
内部,"ないぶ",読みを入力してください,2271,92
実家,"じっか",読みを入力してください,2274,80
説得,"せっとく",読みを入力してください,2275,295
会場,"かいじょう",読みを入力してください,2276,49
結論,"けつろん",読みを入力してください,2279,336
被害,"ひがい",読みを入力してください,2280,606
書類,"しょるい",読みを入力してください,2285,414
個人,"こじん",読みを入力してください,2295,325
代表,"だいひょう",読みを入力してください,2296,167
治療,"ちりょう,じりょう",読みを入力してください,2298,727
直前,"ちょくぜん",読みを入力してください,2299,88
操作,"そうさ",読みを入力してください,2302,471
感想,"かんそう",読みを入力してください,2307,159
容赦,"ようしゃ",読みを入力してください,2315,1039
映像,"えいぞう",読みを入力してください,2323,518
会議,"かいぎ",読みを入力してください,2325,199
去年,"きょねん,こぞ",読みを入力してください,2327,240
夢中,"むちゅう",読みを入力してください,2328,181
反省,"はんせい",読みを入力してください,2330,625
資料,"しりょう",読みを入力してください,2334,510
厄介,"やっかい",読みを入力してください,2338,1070
時計,"とけい",読みを入力してください,2341,191
休憩,"きゅうけい",読みを入力してください,2357,850
段階,"きざはし,きだはし,だんかい",読みを入力してください,2360,471
登場,"とうじょう",読みを入力してください,2364,402
周辺,"しゅうへん",読みを入力してください,2366,482
人数,"ひとかず,にんずう,にんず,にんじゅ",読みを入力してください,2368,102
設定,"せってい",読みを入力してください,2372,349
一回,"いっかい",読みを入力してください,2373,35
侵入,"しんにゅう",読みを入力してください,2375,578
世間,"せけん",読みを入力してください,2376,61
仕方,"しかた",読みを入力してください,2377,74
都合,"つごう",読みを入力してください,2382,133
処理,"しょり",読みを入力してください,2388,329
内側,"うちがわ,ないそく",読みを入力してください,2391,313
年間,"ねんかん",読みを入力してください,2395,26
奇跡,"きせき",読みを入力してください,2396,794
医者,"いしゃ",読みを入力してください,2399,351
接触,"せっしょく",読みを入力してください,2404,477
屋根,"やね",読みを入力してください,2406,353
同意,"どうい",読みを入力してください,2410,64
実感,"じっかん",読みを入力してください,2413,68
公園,"こうえん",読みを入力してください,2414,347
計算,"けいさん",読みを入力してください,2418,647
大声,"おおごえ,たいせい",読みを入力してください,2420,42
乱暴,"らんぼう",読みを入力してください,2421,633
基本,"きほん",読みを入力してください,2423,365
三日,"みっか",読みを入力してください,2428,104
何年,"なんねん",読みを入力してください,2432,19
強化,"きょうか",読みを入力してください,2433,164
謝罪,"しゃざい",読みを入力してください,2435,558
材料,"ざいりょう",読みを入力してください,2440,530
常識,"じょうしき",読みを入力してください,2444,389
権利,"けんり",読みを入力してください,2445,478
昼間,"ひるま,ちゅうかん",読みを入力してください,2446,348
合図,"あいず",読みを入力してください,2447,329
意図,"いと",読みを入力してください,2453,341
運動,"うんどう",読みを入力してください,2457,174
正式,"せいしき",読みを入力してください,2461,302
以下,"いか,いげ",読みを入力してください,2468,91
貴重,"きちょう",読みを入力してください,2469,254
通常,"つうじょう",読みを入力してください,2471,220
禁止,"きんし",読みを入力してください,2473,564
実験,"じっけん",読みを入力してください,2474,285
連続,"れんぞく",読みを入力してください,2479,157
注文,"ちゅうぶん,ちゅうもん",読みを入力してください,2486,389
同情,"どうじょう",読みを入力してください,2493,99
尊敬,"そんけい",読みを入力してください,2497,1208
復活,"ふっかつ",読みを入力してください,2498,432
手足,"てあし,しゅそく",読みを入力してください,2508,87
野菜,"やさい",読みを入力してください,2509,574
整理,"せいり",読みを入力してください,2513,407
日常,"にちじょう",読みを入力してください,2514,184
放置,"ほうち",読みを入力してください,2519,252
対策,"たいさく",読みを入力してください,2520,507
複数,"ふくすう",読みを入力してください,2526,660
若者,"わかもの,わかもん",読みを入力してください,2530,286
嫉妬,"しっと",読みを入力してください,2532,1601
理想,"りそう",読みを入力してください,2535,161
優先,"ゆうせん",読みを入力してください,2537,146
活躍,"かつやく",読みを入力してください,2539,746
発揮,"はっき",読みを入力してください,2541,650
半年,"はんとし,はんねん",読みを入力してください,2542,176
交換,"こうかん",読みを入力してください,2545,604
開発,"かいはつ,かいほつ",読みを入力してください,2550,116
資格,"しかく",読みを入力してください,2566,514
維持,"いじ",読みを入力してください,2575,745
案外,"あんがい",読みを入力してください,2577,319
散歩,"さんぽ",読みを入力してください,2578,417
注目,"ちゅうもく",読みを入力してください,2579,268
両方,"りょうほう",読みを入力してください,2583,218
便利,"べんり",読みを入力してください,2584,668
一般,"いっぱん",読みを入力してください,2593,593
前後,"まえしりえ,ぜんご",読みを入力してください,2595,29
以降,"いこう",読みを入力してください,2601,284
兄弟,"きょうだい,けいてい",読みを入力してください,2604,494
体験,"たいけん",読みを入力してください,2605,264
自宅,"じたく",読みを入力してください,2607,472
強烈,"きょうれつ",読みを入力してください,2608,732
電車,"でんしゃ",読みを入力してください,2610,229
所属,"しょぞく",読みを入力してください,2611,439
始末,"しまつ",読みを入力してください,2617,449
旅行,"りょこう",読みを入力してください,2621,359
退屈,"たいくつ",読みを入力してください,2623,785
