Question,Answers,Comment,Freq,Instructions,Render as
"__漸__く
__漸__との思いで，__漸__と","ようや,やっ","［漸］凖二級
音: セン／ゼン 訓: ようや・く
意味: 少しずつ(状態が進行する)、徐々に、じわじわと、漸進(ゼンシン)。
次第に(進む、進行する)、だんだんと、東漸(トウゼン)(次第に東に向かって進むこと、また流れること)」。
少しずつ水が浸(し)み込む、染(し)みる。
川名、現銭塘江(セントウコウ)、別名、浙江(セッコウ)、浙江省を流れ東シナ海に",漸 → JPDB Kanji Freq: 2707,漢字の読みを入力してください,Text
"__坪__数，建__坪__
①土地の面積の単位。一坪は六尺平方。約三・三一平方メートル。歩(ぶ)。
②墓地の面積の単位。一坪は三尺平方。「坪①」の四分の一。",つぼ,"［坪］凖二級
音: ヘイ／ビョウ 訓: つぼ
意味: (起伏のある土地でそこだけが)平らなところ、平らな土地、同「𡊞」。
日六尺を一辺とする面積の単位、30坪(歩)=1畝、同「歩」{各種単位}。",坪 → JPDB Kanji Freq: 2646,漢字の読みを入力してください,Text
__矯__める，__矯__め直す,た,"［矯］凖二級
音: キョウ 訓: た・める
意味: (弓のように曲がっているものの)狂いや歪(ゆが)みを調整して本来の曲がり具合にする、本来の形に整える、正しい形に直(なお)す、同「撟」、矯正(キョウセイ)。
曲げる、歪める、むやみに(故意に)歪める、同「撟」、矯命(キョウメイ)(本来の命令・指示を歪めて伝えること)」。
力強いさま、勇ましいさま。
ぐっと挙(あ)げる、反(そ)らせて曲げるように一方(片方)だけを持ち上げる、同「撟」、矯首(キョウシュ)(頭をぐいっと上げる)」。",矯 → JPDB Kanji Freq: 2604,漢字の読みを入力してください,Text
"__捗__る，__捗__々しい
仕事が順調にどんどん進む。","はか,はかど","［捗］二級
音: ホ／ブ／チョク／チキ 訓: はかど・る
意味: 打つ。
捗攎(ホロ)、未詳、「散らばった草を拾い集める」の意か？
日はかど・る、仕事が順調に進む",捗 → JPDB Kanji Freq: 2584,漢字の読みを入力してください,Text
"石__臼__
中にむしたもち米を入れ、そこでもちをつくための道具。杵でつく。",うす,"［臼］二級
音: キュウ／グ 訓: うす
意味: 穀物を搗(つ)く際に穀物を入れる器、一般にはしっかりした円柱状の木や石で上部を半球形に抉(えぐ)ってあるもの、またそのような形、またそのような形のもの。
うす、部首名。",臼 → JPDB Kanji Freq: 2567,漢字の読みを入力してください,Text
"__糾__す
真相を調べる。
「罪を━・理非を━」",ただ,"［糾］凖二級
音: キュウ 訓: あざな・う／ただ・す
意味: 何本かの糸(三本の縄)を縒(よ)り合せる、また縒り合せて紐や縄にする、同「糺」。
寄り合わせて纏(まと)める、同「糺」。
誤りや曲がりを(強く締め付けて)正す、罪を厳しく問い質(ただ)す、同「糺」。
絡(から)み付く、縺(もつ)れる、同「丩」。",糾 → JPDB Kanji Freq: 2557,漢字の読みを入力してください,Text
"__糾__う
糸などをより合わせる。縄をなう。「禍福は―える縄のごとし」",あざな,"［糾］凖二級
音: キュウ 訓: あざな・う／ただ・す
意味: 何本かの糸(三本の縄)を縒(よ)り合せる、また縒り合せて紐や縄にする、同「糺」。
寄り合わせて纏(まと)める、同「糺」。
誤りや曲がりを(強く締め付けて)正す、罪を厳しく問い質(ただ)す、同「糺」。
絡(から)み付く、縺(もつ)れる、同「丩」。",糾 → JPDB Kanji Freq: 2557,漢字の読みを入力してください,Text
"__霜__，__霜__柱，初__霜__
空気中の水蒸気が、冷えた地上の物にふれてこおった、白く細かい氷。",しも,"［霜］凖二級
音: ソウ／ショウ 訓: しも
意味: しも、地表付近の水蒸気が地表や物に接触して氷結したもの{霜}。
白いさま。
白く冷たいさま、汚(けが)れないさま、高潔なさま。
年とし、年数、年齢。",霜 → JPDB Kanji Freq: 2540,漢字の読みを入力してください,Text
__弔__う，__弔__い,とむら,"［弔］凖二級
音: チョウ 訓: とむら・う
意味: 他人の苦悩や不幸に対して同情や慰めの言葉を掛ける。
亡くなった人に最後の言葉を掛ける、同「吊」、遺族に労(いた)わりや慰めの言葉を掛けるのは「唁」。
吊る、吊るす、俗「吊」",弔 → JPDB Kanji Freq: 2537,漢字の読みを入力してください,Text
__卸__す,おろ,"［卸］三級
音: シャ 訓: おろ・す／おろし
意味: 馬から馬具などを解(と)いて下(お)ろす、鎧(よろい)などを脱いで下ろす。
身に纏(まと)っているものを脱ぎ下ろす、卸肩(シャケン)(肩に負っている荷を下ろす)」、卸責(シャクセキ)(責任から逃れる、責任逃れをする)」、卸粧(シャショウ)(衣裳を脱ぐ、着替える化粧を落とす)」。
日おろ・す、おろし、商品を流通上の川上(かわかみ)から仕入れて川下(かわしも)へ売り渡すこと。",卸 → JPDB Kanji Freq: 2528,漢字の読みを入力してください,Text
__卸__，__卸__商,おろし,"［卸］三級
音: シャ 訓: おろ・す／おろし
意味: 馬から馬具などを解(と)いて下(お)ろす、鎧(よろい)などを脱いで下ろす。
身に纏(まと)っているものを脱ぎ下ろす、卸肩(シャケン)(肩に負っている荷を下ろす)」、卸責(シャクセキ)(責任から逃れる、責任逃れをする)」、卸粧(シャショウ)(衣裳を脱ぐ、着替える化粧を落とす)」。
日おろ・す、おろし、商品を流通上の川上(かわかみ)から仕入れて川下(かわしも)へ売り渡すこと。",卸 → JPDB Kanji Freq: 2528,漢字の読みを入力してください,Text
"麓
山の下のほう。山のすそ。",ふもと,"［麓］二級
音: ロク 訓: ふもと
意味: (木が生えている)山裾(やますそ)。
山林を管理する役人。",麓 → JPDB Kanji Freq: 2526,漢字の読みを入力してください,Text
__詣__でる，初__詣__,"もうで,もう","［詣］二級
音: ゲイ／ゲ／ケイ 訓: もう・でる
意味: 到(いた)る、高みに行き着く。
目上の人や年長の人を訪(おとず)れる。
日もう・でる、有名な場所や建物を訪れる。",詣 → JPDB Kanji Freq: 2514,漢字の読みを入力してください,Text
__謡__う,うた,"［謡］四級
音: ヨウ 訓: うたい／うた・う
意味: 即興で歌う、楽器などの伴奏なしに歌う、同「䚻」、楽器などの伴奏に合わせて歌うのは「歌」。
子どもや一般の人が節を付けて口遊(くちずさ)む歌。
根も葉もない噂話。",謡 → JPDB Kanji Freq: 2512,漢字の読みを入力してください,Text
__謡__，素__謡__,うたい,"［謡］四級
音: ヨウ 訓: うたい／うた・う
意味: 即興で歌う、楽器などの伴奏なしに歌う、同「䚻」、楽器などの伴奏に合わせて歌うのは「歌」。
子どもや一般の人が節を付けて口遊(くちずさ)む歌。
根も葉もない噂話。",謡 → JPDB Kanji Freq: 2512,漢字の読みを入力してください,Text
__但__し，__但__し書き,ただ,"［但］凖二級
音: タン／ダン 訓: ただ／ただ・し
意味: ただ・し、補足・条件などを示す際に用いる語。
ただ、単に、それだけ、同「単」。
上着をはだけて肌を露わにする、同「袒」。",但 → JPDB Kanji Freq: 2507,漢字の読みを入力してください,Text
__繭__，__繭__玉,まゆ,"［繭］凖二級
音: ケン 訓: まゆ
意味: 蚕の蛹(さなぎ)を包み保護しているもの。
たこ(胼胝ヘンチ)、摩擦や刺激が繰り返されて皮膚が硬くなったもの、繭疤(ケンハ)、老繭(ロウケン)、同「𥀹」「𦢣」「𨇿」「趼」。
簡「茧」。",繭 → JPDB Kanji Freq: 2490,漢字の読みを入力してください,Text
"__屯__する
なんとなく集まって来てそこにいる。
「学生の━喫茶店」",たむろ,"［屯］凖二級
音: トン／ドン／チュン 訓: たむろ・する
意味: なかなか(上に、前に)出られないさま、思うように行かないさま、停頓テイトンするさま。
同じところに留(とど)まる、人が同じところに集まり留まる。
集落、村落、同「邨」。
屯駐・屯住(トンチュウ)、駐屯(チュウトン)、ある地に留まること、軍隊がある地に駐留チュウリュウすること。
屯田(トンデン)、国が人を集め耕作させた田畑、集められた人によって「民屯(一般民)」「兵屯、軍屯(戦の際には兵として徴収する兵士)」などがあった。",屯 → JPDB Kanji Freq: 2486,漢字の読みを入力してください,Text
"__悼__む
〔文〕人などの死をおしみ、静かに心を痛める。
「友の死を━・故人を━〈ことば／声〉」",いた,"［悼］凖二級
音: トウ／ドウ 訓: いた・む
意味: 死者を偲び心から悲しむ、死者に思いを致して心を痛める。",悼 → JPDB Kanji Freq: 2482,漢字の読みを入力してください,Text
__斥__ける，__斥__く,しりぞ,"［斥］三級
音: セキ／シャク 訓: しりぞ・ける
意味: 退(しりぞ)ける、押し退(の)ける、追い遣(や)る、排斥(ハイセキ)。
押し開く、大きく広げる、斥地(セキチ)。
(誤りを)指摘する、咎(とが)める、斥責(セキセキ・チェザ)。
窺(うかが)う、探(さぐ)る、斥候(セッコウ)。
充斥(ジュウセキ)、一面に蔓延(はびこ)る、いっぱいになる。",斥 → JPDB Kanji Freq: 2480,漢字の読みを入力してください,Text
"__唆__す
相手を煽てたりだましたりして、その気にさせて誘う。特に、悪いほうへ誘うときに使う。
「違法行為を―す」",そそのか,"［唆］凖二級
音: サ 訓: そそのか・す
意味: そそのか・す、嗾(けしか)けて悪いことをさせようとする。
囉唆(ラサ)、話が回りくどい、話がくどく鬱陶ウットウしい。",唆 → JPDB Kanji Freq: 2463,漢字の読みを入力してください,Text
__幣__，__幣__を奉る,ぬさ,"［幣］凖二級
音: ヘイ／ベ 訓: ぬさ／しで
意味: 神前シンゼンに供(そな)える白い絹布、同「𧝬」「𢄞」。
君主や賓客ヒンキャクへの礼物レイブツ・レイモツ(お礼の品物)。
財物ザイブツ・ザイモツ、大切な(価値のある)金銭や品物。
銭ぜに、貨幣(カヘイ)、古く絹布は高価で通貨と同じ役を果たしていたことから、同「𧸁」。
同簡「币」。
日ぬさ、紙垂(かみしで、紙などで作った垂)を棒に結(ゆ)わえた祭祀用の用具、御幣(ゴヘイ)。",幣 → JPDB Kanji Freq: 2461,漢字の読みを入力してください,Text
"__俵__，米__俵__，__俵__を割る
わら･かやなどを編んで作った、米や穀類･炭などを入れる袋。
「米―を担ぐ」",たわら,"［俵］五級
音: ヒョウ 訓: たわら
意味: 分け与える、分配ブンパイする、同「㧼」「䞄」。
日たわら、藁(わら)で作った穀物などを入れる袋。",俵 → JPDB Kanji Freq: 2459,漢字の読みを入力してください,Text
__遡__る,さかのぼ,"［遡］二級
音: ソ／ス 訓: さかのぼ・る
意味: 水や時間・物事などの本来の流れとは逆方向に進む、上流に向かって進む、同「溯」。
源(みなもと、流れや物事の始まるところ)に向かって行く。
訴(うった)える、告げる、同「愬」「訴」。",遡 → JPDB Kanji Freq: 2435,漢字の読みを入力してください,Text
鯨,くじら,"［鯨］三級
音: ケイ／ギョウ／ゲイ 訓: くじら
意味: 鯨(クジラ)、クジラ目の水棲哺乳動物の総称、特に雄を指す、雌は「鯢」。",鯨 → JPDB Kanji Freq: 2432,漢字の読みを入力してください,Text
薪（焚き木）,たきぎ,"［薪］四級
音: シン 訓: たきぎ／まき
意味: 柴(しば)、燃料などに用いる細い枝、或いは太い木を割ったもの、いずれも燃料などに用いるものをいう。",薪 → JPDB Kanji Freq: 2429,漢字の読みを入力してください,Text
__愁__える，__愁__い,うれ,"［愁］凖二級
音: シュウ／ジュ 訓: うれ・える
意味: もの悲しく思う、侘びしい、秋の心情。
憂(うれ)える、あれこれと思いが巡(めぐ)り心が揺れ動く。",愁 → JPDB Kanji Freq: 2422,漢字の読みを入力してください,Text
"__斑__，__斑__なく
__斑__たるみ","むら,まだら","［斑］二級
音: ハン／ヘン 訓: まだら／ぶち／むら
意味: 地色に他の色が点状や縞状に散らばっているさま。
斑鳩(ハンキュウ)、ハト科キジバト属の小形のハト鳩、同、鵓鳩(ボツキュウ)、鳻鳩(ハンキュウ)、、山斑鳩(サンハンキュウ)(キジバト雉鳩)」、歐斑鳩(オウハンキュウ)(コキジバト小雉鳩)」、灰斑鳩(ハイハンキュウ)(シラコバト白子鳩)」、火斑鳩(カハンキュウ)(ベニバト紅鳩)」。",斑 → JPDB Kanji Freq: 2412,漢字の読みを入力してください,Text
"__醸__す，__醸__し出す
❶米やムギなどを発酵させて、酒・しょうゆ・みそなどをつくる。醸造する。
❷気分や感じをつくる。",かも,"［醸］凖二級
音: ジョウ／ニョウ 訓: かも・す
意味: 発酵作用を利用して酒・酢・醤(ひしお)などを造る、特に酒を造る。
混じり合い変化(発酵)し次第に別のものが生まれる。",醸 → JPDB Kanji Freq: 2403,漢字の読みを入力してください,Text
__酌__む，__酌__み交わす,く,"［酌］凖二級
音: シャク 訓: く・む
意味: 酒を汲(く)む、大きな容器に入っている酒を小さな器で掬(すく)う、酒を
酒を
斟酌(シンシャク)互いに酒を",酌 → JPDB Kanji Freq: 2399,漢字の読みを入力してください,Text
__堤__，__堤__人形,つつみ,"［堤］四級
音: テイ／タイ 訓: つつみ
意味: 川・湖・海の水が溢(あふ)れ出てくることを防ぐために土や石を高く盛ったところ、土手、同「隄」「碮」、堤防(テイボウ)。
瓶ビン(かめ)などの底の平らな部分。",堤 → JPDB Kanji Freq: 2398,漢字の読みを入力してください,Text
__篤__い,あつ,"［篤］三級
音: トク 訓: あつ・い
意味: 厚いさま、厚みがあるさま、手厚いさま、心が籠(こ)もっているさま、情けが深いさま、篤実(トクジツ)、同「䈞」「竺」。
一つのことに打ち込むさま。
病気が重いさま。",篤 → JPDB Kanji Freq: 2393,漢字の読みを入力してください,Text
"__肖__る
①同じようなしあわせを受ける（ことを願う）。
「ご長寿にあやかりたい」
②それに関連づけ（て、幸運や人気を呼ぼうとす）る。
「ドラマにあやかった企画」",あやか,"［肖］凖二級
音: ショウ 訓: に・る／あやか・る
意味: (子が親などに)似る、(姿形が)似ている、不肖(フショウ)(親に似ない、親に似ず至らない、親に似ず愚か、私の謙譲語)」。
元になるものに似せる、、肖像(ショウゾウ)。
小さい[日]あやか・る、あるものに似せる、あるものと同じようになる。",肖 → JPDB Kanji Freq: 2388,漢字の読みを入力してください,Text
"__煎__る，__煎__り豆
水気がなくなるまで火にあぶってこがす。",い,"［煎］二級
音: セン 訓: い・る
意味: 全体に熱を加え(食材の)水分を飛ばす、(食材の)水分がなくなるまで熱する、一般に油は使わないか或いは焦げ付かない程度の少量で熱を加える、「炒」参照。
水に食材や薬を入れて熱し(殆ど)水がなくなるまで煮詰める、煮出す。
(燃え尽きて)消える。",煎 → JPDB Kanji Freq: 2381,漢字の読みを入力してください,Text
"__倣__う
すでにある物事をまねてそのとおりにする。手本としてまねる。",なら,"［倣］三級
音: ホウ 訓: なら・う
意味: 姿形(すがたかたち)や方法などの手本となるものを見て学び、それに似(に)せる、似せた形に作る、似せた方法でする、同「傚」。",倣 → JPDB Kanji Freq: 2363,漢字の読みを入力してください,Text
__凹__む (1 & 2),"へこ,くぼ","［凹］凖二級
音: オウ／ヨウ 訓: くぼ・む／へこ・む／ぼこ
意味: 周囲が高く中央が低くなっている、また窪(くぼ)んでいる、またその形、同「窪」、突き出ているのは「凸」{筆順(凸凹)}。",凹 → JPDB Kanji Freq: 2360,漢字の読みを入力してください,Text
__藻__掻く，__藻__，__藻__屑，__藻__塩,も,"［藻］凖二級
音: ソウ 訓: も
意味: 水中に生息する植物などの総称、また、藻類(ソウルイ)、海草(カイソウ)、水草(スイソウ)(みずくさ)」などの水中に生える草の総称。
色鮮やかな模様、同「繅」。
表現が巧(たく)みで美しいさま。
十二章紋の一つ、水草を象(かたど)ったもの{服飾(十二章紋)}。
色とりどりの糸を使って撚(よ)り上げた紐(ひも)、組紐、同「繅」{服飾(冕冠)}。",藻 → JPDB Kanji Freq: 2336,漢字の読みを入力してください,Text
"__柿__，干し__柿__，干__柿__鬼鮫 (ナルト)
〘植物名〙くだものの名。秋、赤黄色に熟す。",かき,"［柿］二級
音: シ／ジ 訓: かき
意味: 柿(カキ)、カキノキ科カキノキ属の木、またカキノキ属の木の総称、またその果実{カキ}。",柿 → JPDB Kanji Freq: 2328,漢字の読みを入力してください,Text
__雌__，__雌__犬,めす,"［雌］四級
音: シ 訓: め／めす
意味: 鳥の母性、鳥の父性は「雄(おす)」、獣の母性は「牝(めす)」、獣の父性は「牡(おす)」。
小さく弱々しいさま。",雌 → JPDB Kanji Freq: 2310,漢字の読みを入力してください,Text
__雌__花，__雌__牛，__雌__しべ,め,"［雌］四級
音: シ 訓: め／めす
意味: 鳥の母性、鳥の父性は「雄(おす)」、獣の母性は「牝(めす)」、獣の父性は「牡(おす)」。
小さく弱々しいさま。",雌 → JPDB Kanji Freq: 2310,漢字の読みを入力してください,Text
"__遍__く
広く。すみずみまで全部。
例: 月の光が遍く地上をてらす。",あまね,"［遍］凖二級
音: ヘン 訓: あまね・く
意味: 広く隅々まで行き渡る、同「𨖠」「徧」。
あまね・く、広く漏れなく、隅々まで、同「徧」。
回数を数える語、同「徧」。",遍 → JPDB Kanji Freq: 2298,漢字の読みを入力してください,Text
__慄__く,おのの,"［慄］二級
音: リツ／リチ 訓: おのの・く
意味: 恐れや寒さで体が震える、恐れで身が竦(すく)む。
簡「栗」。",慄 → JPDB Kanji Freq: 2293,漢字の読みを入力してください,Text
"__盲__いる・目強いる
〔文〕目が見えなくなる。",めし,"［盲］凖二級
音: モウ／ミョウ 訓: めくら／めしい
意味: (視力が失われて)目が見えない、またそのような人、同「盳」「𥇋」「朚」「𤷐」。
物事をはっきりと理解・判断できない、道理に暗い。
しっかりと考える(吟味する)ことなしに、盲信(モウシン)。
日管状(筒状)のものの一方が塞(ふさ)がっているさま。",盲 → JPDB Kanji Freq: 2289,漢字の読みを入力してください,Text
__餓__え，__餓__える，__餓__え死に,う,"［餓］三級
音: ガ 訓: う・える
意味: 食べ物が足りず腹がすいて痩(や)せて骨ばる、飢(キ)(う・える、食べ物が足りず腹をすかす)」よりも甚(はなは)だしい状態。",餓 → JPDB Kanji Freq: 2288,漢字の読みを入力してください,Text
__淑__やか,しと,"［淑］凖二級
音: シュク／ジュク 訓: しと・やか
意味: 善(よ)い、良い、好ましい、同「俶」。
穢(けが)れがなく透き通っているさま、慎(つつし)み深く清らかなさま、同「𣻪」。",淑 → JPDB Kanji Freq: 2287,漢字の読みを入力してください,Text
__酢__，__酢__の物,す,"［酢］凖二級
音: サク／ザク／ソ／ス 訓: す
意味: 酸(す)っぱい、酸っぱい味、酸っぱい味の飲み物、同「酸」「醋」。
接待に対する礼として客が主人に杯を返す、同「醋」、主人が客に勧めるのは「酬」。",酢 → JPDB Kanji Freq: 2283,漢字の読みを入力してください,Text
__絹__，薄__絹__,きぬ,"［絹］五級
音: ケン 訓: きぬ
意味: 蚕の繭から紡いで作った生糸で織った織物。
鳥獣を捕る網。",絹 → JPDB Kanji Freq: 2279,漢字の読みを入力してください,Text
"柵
①まとわりついてはなれない〈状態／もの〉。
「人情の━」
②〔雅〕くいを打ちならべ、これに竹や木を横にゆわえつけて水の流れをとめる設備。",しがらみ,"［柵］二級
音: サク／シャク／サン／セン 訓: しがらみ
意味: 木や竹を立て並べ卌状に組んだもの、隙間を設け通したいものだけを通るようにした仕切り。",柵 → JPDB Kanji Freq: 2279,漢字の読みを入力してください,Text
"__尼__，__尼__寺
①〘仏〙仏門にはいった女性。びくに（比丘尼）。尼法師。
「━さん」
②〘宗〙カトリックにはいって、神や病人などに奉仕(ほうし)する女性。修道女。",あま,"［尼］凖二級
音: ジ／ニ 訓: あま
意味: あま、出家して仏門に入った女性。
比丘尼(ビクニ)、出家して仏門に入った女性、男性は「比丘」。
近(ちか)しい、親(した)しい、同「昵」。
仲尼(チュウジ)、孔子コウシ(姓は子、名は丘、前551？年～前479年)の字(あざな)。
尼丘(ジキュウ)、尼山(ジサン)、山名、山東省済寧市曲阜市、孔子の父母が祈祷キトウして孔子を授(さず)かったとされる、同「㞾丘」「屔丘」「𡲌丘」{山東省}。",尼 → JPDB Kanji Freq: 2267,漢字の読みを入力してください,Text
"__咽__ぶ，__咽__せる，__咽__せっぽい
①飲食物や煙などで息がつまりそうになる。
②感情がこみ上げて声がつまる。「あまりの嬉しさに涙に―ぶ」
③風や水の音が激しく泣くように聞こえる。","む,むせ","［咽］二級
音: エン／エツ／エチ／イン 訓: のど／むせ・ぶ／むせ・る
意味: のど、口の奥から食道の入口までの部分、「咽」の途中から分かれて気管に通じる部分を「喉」、総称して、咽喉(インコウ)。
飲み込む、同「嚥」。
むせ・ぶ、食べ物が咽喉に閊(つか)える、同「噎」。",咽 → JPDB Kanji Freq: 2257,漢字の読みを入力してください,Text
"__峠__，__峠__道
❶山などの坂道を登りつめた所。
❷物ごとのいちばんさかんな時期。",とうげ,"［峠］四級
音: とうげ 訓: 
意味: 日坂道や物事などの上(のぼり)りが終わって下(くだ)り始めるその境目。",峠 → JPDB Kanji Freq: 2251,漢字の読みを入力してください,Text
小__唄__，長__唄__,うた,"［唄］二級
音: ハイ／バイ 訓: うた
意味: 仏の功徳(くどく)を褒(ほ)め称(たた)える言葉、声明ショウミョウ、またそれを抑揚をつけて唱(とな)える。
日歌、民謡や俗謡。",唄 → JPDB Kanji Freq: 2245,漢字の読みを入力してください,Text
__薫__る，__薫__り,かお,"［薫］凖二級
音: クン 訓: かお・る／かおり
意味: 良い香り、良い香りのする草。
火にかけて良い香りを立ち昇らせる、良い香りが立ち籠(こ)める、またその香り。
良い影響を与える、また受ける、薰陶(クントウ)。",薫 → JPDB Kanji Freq: 2233,漢字の読みを入力してください,Text
"__遜__る・謙る
相手に対して、自分を低いもの、価値の少ないものとして、行動する。けんそんする。
「遜った言い方」",へりくだ,"［遜］二級
音: ソン 訓: へりくだ・る
意味: へりくだ・る、他を敬って自ら一歩退(ひ)く、自ら一歩退(しりぞ)き控え目に振る舞う。
自ら地位などを退(しりぞ)き他に譲る。
逃(のが)れ身を隠す、同「遁」。",遜 → JPDB Kanji Freq: 2230,漢字の読みを入力してください,Text
__逝__く，〔文〕__逝__く,"い,ゆ","［逝］凖二級
音: セイ／ゼ 訓: ゆ・く
意味: 往(ゆ)く、去って行く、遠くへ行ってしまう。
亡くなる、死ぬ。",逝 → JPDB Kanji Freq: 2215,漢字の読みを入力してください,Text
