Question,Answers
伊蘭,イラン
骨杯,コップ
柴棍,サイゴン
左行、佐行,さぎょう
舎路,シアトル
輪奈,わな
正油,しょうゆ
切角,せっかく
強強,ごわごわ
得撒,テキサス
尼羅,ナイル
馬穴、馬尻,バケツ
曼谷、盤谷,バンコク
曹達,ソーダ
厨二,ちゅうに
椪柑、凸柑,ぽんかん
不丹,ブータン
英屯、英噸,えいトン
護美箱,ごみばこ
伊留、満入満、由婁漫,イルマン
馬尼剌,マニラ
虎列刺,コレラ
阿乙呉,あいご
黎巴嫩,レバノン
紺四郎,こんしろう
追丁株,おいちょかぶ
和地関,"バチカン,ヴァチカン"
巴拉圭,"パラグアイ,パラグァイ,パラグワイ"
阿部槇、阿部槙,あべまき
馬徳里,"マドリード,マドリッド"
提宇子、大宇須、大臼,ダイウス
聖保羅,サンパウロ
不列顛、不列顚,ブリテン
底野迦,テリアカ
檸檬酒,レモンしゅ
金餅糖,コンペイトー
烏克蘭、宇克蘭,ウクライナ
宇柳貝、宇柳具,ウルグアイ
越幾斯,エキス
厄瓜多,エクアドル
寿語録,すごろく
加爾基,カルキ
切死丹、切支丹、吉利支丹、鬼理死丹,キリシタン
科威都,"クウェート,クウェイト"
寿喜焼,すきやき
古加涅,コカイン
撒哈拉,サハラ
寿留女,するめ
四季施,しきせ
雪特尼,シドニー
西伯利,"シベリア,シベリヤ"
叙利亜,シリア
牙買加,ジャマイカ
士篤恒,ストックホルム
愛斯蘭、愛蘭土,アイスランド
阿爾及,アルジェリア
利比亜,リビア
喜佐古,"きさご, きしゃご"
薄野呂,うすのろ
塞爾維,セルビア
蘇維埃,"ソビエト,ソヴィエト"
突尼斯,"チュニジア,テュニジア"
第希蘭,テヘラン
巴格達,"バグダッド,バグダード"
天鵞絨,ビロード
芬蘭土,フィンランド
摩尼教、末尼教,マニきょう
捏巴爾,ネパール
幾内亜、銀名,ギニア
御目出糖,おめでとう
馬来西亜,マレーシア
利比利亜,リベリア
亜皮西尼,アビシニア
蘇門答剌,スマトラ
耶路撒冷,エルサレム
裏山死刑,うらやましけい
烏剌紐母,ウラニウム
諳厄利亜,アンゲリア
箪笥預金、箪笥貯金,"たんすよきん, たんすちょきん"
亜爾加里,アルカリ
安母尼亜,アンモニア
豪太剌利,オーストラリア
寒武利亜,カンブリア
臥児狼徳,グリーンランド
天爾遠波、弖爾乎波,てにをは
尼加拉瓦,ニカラグア
巴基斯担,パキスタン
加里石鹸,カリせっけん
日巴拉太,ジブラルタル
委内瑞拉,"ベネズエラ, ヴェネズエラ"
毛里求斯,モーリシャス
暮利比亜、玻里非,"ボリビア, ボリヴィア"
真秀呂場,まほろば
別剌敦那,ベラドンナ
紫羅欄花,あらせいとう
成吉思汗鍋,ジンギスカンなべ
家内喜多留,やなぎだる
樺太柳葉魚,からふとししゃも
社交倶楽部,しゃこうクラブ
更紗馬蹄螺,サラサばていら
馬達加斯加,マダガスカル
重炭酸曹達,じゅうたんさんソーダ
阿富汗斯坦、阿富汗斯、亜富汗斯坦,アフガニスタン
