Question,Answers,Comment,Instructions
"箱の中には、隙間なく ( ) お菓子が詰まっていた。
 1. どしどし 
 2. どっしり 
 3. うじゃうじゃ 
 4. ぎっしり",4,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"私は前回の試験の結果にずっと疑問を( )いる。
 1. いだいて 
 2. にぎって 
 3. たもって 
 4. そなえて",1,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"16 さまざまなデータを（   ）した結果、事故の原因が明らかになった。
 1. 視察 
 2. 検査 
 3. 発明 
 4. 分析",4,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"17 街を（   ）していたら、山本さんに会った。
 1. ぐらぐら 
 2. がらがら 
 3. ばらばら 
 4. ぶらぶら",4,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"18 祭りの日は町が（   ）にあふれている。
 1. 活気 
 2. 活発 
 3. 活躍 
 4. 活動",1,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"19 コピー機に紙が（   ）、出てこない。
 1. もぐって 
 2. つまって 
 3. しずんで 
 4. うまって",2,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"20 この小説は今の時代を（   ）した作品だ。
 1. 反映 
 2. 放映 
 3. 引用 
 4. 採用",1,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"21 田中さんは長い間（   ）窓の外を見ていた。
 1. ぼんやり 
 2. ふんわり 
 3. うっすら 
 4. しっとり",1,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"22 経済だけでなく、法律にも詳しいのが彼の（   ）だ。
 1. 深み 
 2. 強み 
 3. 高み 
 4. 重み",2,,問題4 （ ）に入れるのに最もよいものを、1 · 2 · 3 · 4から一つ選びなさい。
"子どものいたずらにいちいち( )を立てても仕方がない。
 1. 気 
 2. 頭 
 3. 腹 
 4. 心",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"A社が開発した商品管理システムは評価が高く、多くの会社に( )されている
 1. 導入 
 2. 引用 
 3. 吸収 
 4. 移行",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"工事の音が( )、全然眠れない。
 1. しつこくて 
 2. ずうずうしくて 
 3. やかましくて 
 4. けわしくて",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"自転車のタイヤが( )して、空気が抜けていた。
 1. ストライキ 
 2. パンク 
 3. ダウン 
 4. ミス",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"セミナーの日の朝は準備の時間がないので、資料は( ) コピーしておいて ください。
 1. 遅くとも 
 2. あらかじめ 
 3. とっくに 
 4. 先々",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"山口さんは柔道をしているので、がっしりした( )をしている。
 1. 体格 
 2. 姿勢 
 3. 格好 
 4. 容姿",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"こんなに夜遅くまでおきていると、明日の仕事に( )よ。
 1. かかわり合う 
 2. 割り込む 
 3. 引っかかる 
 4. 差し支える",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4 から一つ選びなさい。
"両親はおいしい料理で客を(　　)のが好きだ。
 1. もてなす 
 2. おだてる 
 3. 許す 
 4. 救う",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"その駅は各駅停車の電車は止まりますが、 急行電車は(　　)。
 1. 温厚 
 2. 直進 
 3. 通過 
 4. 横断",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"見た人の記憶に残るような(　　)のあるボスターにしたい。
 1. インパクト 
 2. プレッシャー 
 3. チャージ 
 4. ショック",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"地元の選手がオリンピックでメダルを獲得したことがテレビで()された。
 1. 通信 
 2. 普及 
 3. 伝言 
 4. 報道",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"台風で電車が運休になり、 通勤や通学で利用する人に(　　)影響を与えた。
 1. 大まかな 
 2. 偉大な 
 3. 大げさな 
 4. 多大な",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"西川さんは転校してきたばかりだが、友達もできて、もうすっかりクラスに(　　)ている。
 1. 当てはまって 
 2. 溶け込んで 
 3. 結びついて 
 4. 触れ合って",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"私は(　　)性格なので、時々財布を持たずに買い物に出かけてしまうことがある。
 1. あつかましい 
 2. うっとうしい 
 3. そそっかしい 
 4. さわがしい",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"息子はみんなの前で、悪いことはもう絶対にしないと(　　)。
 1. 論じた 
 2. 命じた 
 3. 誓った 
 4. 迫った",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"工事のため、(　　)電気が止まることがあります。
 1. 簡潔に 
 2. 一時的に 
 3. 手軽に 
 4. 不完全に",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"あの人物が今回の事件に(　　)していたのは間違いない。
 1. 参列 
 2. 加入 
 3. 登場 
 4. 関与",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"油で汚れたフライパンは、(　　)してとても洗いにくいです。
 1. べたべた 
 2. かさかさ 
 3. じめじめ 
 4. ちくちく",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"サッカーで手を使うのは禁止されていて、もし使ったら(　　)になる。
 1. 反則 
 2. 違法 
 3. 非常識 
 4. 不都合",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"虫が飛んできたので、手に持っていた帽子を振って遠くに(　　)。
 1. 連れ出した 
 2. 揉め出した 
 3. 取り払った 
 4. 追い払った",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"社会の変化に合わせて、働き方や休日の過ごし方など人々が選ぶ生活の(　　)も変わってきた。
 1. ポーズ 
 2. スタイル 
 3. ブランド 
 4. シリーズ",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"今日は残業で疲れていて夕食を作るのが( )だから、外で食べて帰ろうと思う。
 1. 余計 
 2. 面倒 
 3. 過剰 
 4. 無力",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"この犬のロボットは動きが自然で、まるで( )の犬のようだ。
 1. 本物 
 2. 現状 
 3. 事実 
 4. 正式",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"山下先輩は私の( )で 、いつか山下先輩のようになりたいと思っている。
 1. あこがれ 
 2. 望み 
 3. 願い 
 4. 夢",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"今日会社で京都支社から東京本社への( )を命じられ、今月末に東京へ引っ越すことになった。
 1. 移行 
 2. 転職 
 3. 転勤 
 4. 移住",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"この辺りの農家は、無農薬で野菜を( )しています。
 1. 制作 
 2. 栽培 
 3. 養成 
 4. 製造",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"彼は私の意見に対して何も言わなかったが、( ) ことで同意を示してくれた。
 1. ふりむく 
 2. にらむ 
 3. かがむ 
 4. うなずく",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"机の上がいろいろな物で( )しているから、早くきれいに片付けよう。
 1. きちんと 
 2. ぼんやり 
 3. ごちゃごちゃ 
 4. きょろきょろ",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"彼の演技はとても個性的で、見る人の（ ）が大きく分かれる。
 1. 考慮 
 2. 評価 
 3. 信頼 
 4. 測定",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"話し合いでは、相手の意見を（ ）し、よく聞くことが大切だ。
 1. 尊 重 
 2. 信仰 
 3. 提案 
 4. 発揮",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"この商品は、健康を気にする 40 代から 50 代の人を（ ）に開発した。
 1. ゴール 
 2. インパクト 
 3. アピール 
 4. ターゲット",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"佐藤さんは服装や髪形が個性的で、他の人とは違う（ ）の雰囲気がある。
 1. 定着 
 2. 専用 
 3. 独特 
 4. 区別",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"前回の大会では、あの二人は最後まで優勝を（ ）いた。
 1. 戦って 
 2. 争って 
 3. 奪って 
 4. 破って",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"高橋さんの家を訪ねたが、みんな出かけているようで、人の（ ）が
なかった。
 1. 動作 
 2. 実感 
 3. 気配 
 4. 状態",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"彼は自分で決めたルールも守らない、（ ）人だ。
 1. 不規則な 
 2. あやふやな 
 3. 大まかな 
 4. いいかげんな",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"会員の登録が(　　)したので、今からサービスを利用できます。
 1. 決着 
 2. 完了 
 3. 終業 
 4. 到達",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"年を取って運動をしなくなると、 筋肉がだんだん(　　)いきます。
 1. 潰れて 
 2. 欠けて 
 3. 尽きて 
 4. 衰えて",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"会議時間が残り少なくなったので、 資料の詳細な説明は(　　)して、要点のみを
説明した。
 1. 減量 
 2. 休止 
 3. 節約 
 4. 省略",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"この小説はフィクションだと(　　)いたが、実際にあった話らしい。
 1. 思い込んで 
 2. 思い起こして 
 3. 考え抜いて 
 4. 考えついて",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"山口さんは、子どもが怖がらないように優しい(　　)で話しかけた。
 1. 音声 
 2. 口調 
 3. 顔色 
 4. 内心",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"部下に仕事を教えるのは、 上司の(　　)の一つだ。
 1. 労働 
 2. 勤務 
 3. 役目 
 4. 当番",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"森さんは外食のとき、いつも誰かに払ってもらおうとするので、(　　)人だと思う。
 1. みずみずしい 
 2. たどたどしい 
 3. ずうずうしい 
 4. よわよわしい",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4・から一つ選びなさい。
"今週は忙しかったから、 週末は家で(  )テレビを見ていた。
 1. のろのろ 
 2. のんびり 
 3. ぐるぐる 
 4. ぐっすり",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"マラソンでは周りの人にあわせようとしないで、 (  )で走るといい。
 1. テクニック 
 2. フレッシュ 
 3. アプローチ 
 4. マイペース",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"あの店はサービスがいいと(  )だ。
 1. 評判 
 2. 評価 
 3. 診断 
 4. 決断",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"彼女とは久しぶりに会ったので、 何時間話しても話が (  )。
 1. 枯れない 
 2. 限らない 
 3. 尽きない 
 4. 衰えない",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"練習の成果が(   )できれば、きっと優勝できるだろう。
 1. 発揮 
 2. 発生 
 3. 発行 
 4. 発明",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"この表現は (  )でわかりにくい。
 1. 軟弱 
 2. 質素 
 3. あいまい 
 4. ささやか",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"この切符は、明日まで (  )です。
 1. 利点 
 2. 権利 
 3. 効用 
 4. 有効",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"この学校の( )は、国際交流が盛んなことだ。
 1. 得点 
 2. 性能 
 3. 効用 
 4. 特色",4,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"だんだん雨が激しくなって、傘を差していたのに服が( )ぬれてしまった。
 1. すっきり 
 2. ぎっしり 
 3. びっしょり 
 4. ぴったり",3,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"このチームは何度も優勝し、( )成績を残している。
 1. 力強い 
 2. 輝かしい 
 3. 分厚い 
 4. 限りない",2,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"Aホテルは大通りに( )いて、分かりやすい場所にある。
 1. 当たって 
 2. 触れて 
 3. 面して 
 4. 合わせて",3,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"それは、問題点を的確にとらえた( ) 質問だった。
 1. するどい 
 2. にぶい 
 3. けわしい 
 4. ゆるい",1,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"このいすは、大きさがちょうどいいし、色や( )も気に入っている。
 1. インテリア 
 2. スペース 
 3. リビング 
 4. デザイン",4,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"一つの考え方に縛られず、( ) 思考を持つことで、新しい発想が生まれるだろう。
 1. 快適な 
 2. 柔軟な 
 3. 円満な 
 4. 順調な",2,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"骨を丈夫にするために、カルシウムを( )含む食品をとるようにしている。
 1. 鮮明に 
 2. 活発に 
 3. 円満に 
 4. 豊富に",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"今週は、暑くも寒くもなく、強い風も吹かず、( ) 天気が続いている。
 1. 柔らかな 
 2. 穏やかな 
 3. 滑らかな 
 4. 緩やかな",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"資格試験がもうすぐあるのに、最近仕事が忙しくて、毎朝の勉強時間を十分に( )するのが難し
 1. 制作 
 2. 保存 
 3. 作成 
 4. 確保",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"雑誌に新しい広告を出して、わが社の商品の良さを消費者にもっと ( ) したい。
 1. アピール 
 2. インストール 
 3. チャージ 
 4. セット",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"失敗したことを( )より、気持ちを切り替えて、明日からまたがんばろうと思う。
 1. 断る 
 2. 疑う 
 3. 悔やむ 
 4. あきらめる",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"わが社が海外への進出を考える( )となったのは、二年前の国際イベントだった。
 1. 契機 
 2. 先端 
 3. 始発 
 4. 合図",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"あの二人はさっきから( )話しているが、他人に聞かれては困る話なのだろうか。
 1. ぐっすり 
 2. うろうろ 
 3. ひそひそ 
 4. ばっさり",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"昨日の試合では実力を( )できず、一試合目で負けてしまった。
 1. 表現 
 2. 明示 
 3. 公開 
 4. 発揮",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"料理本を見ながら、自分の好みに合うように味付けを( )する。
 1. コメント 
 2. デザイン 
 3. アレンジ 
 4. ケア",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"あの人が描く絵には、ほかの人の絵にはない( )の雰囲気がある。
 1. 専属 
 2. 独特 
 3. 限定 
 4. 孤立",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"父は、どんなに忙しいときでも、朝の運動を( )。
 1. 空けない 
 2. 離さない 
 3. 奪わない 
 4. 欠かさない",4,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"クイズの答えがわからなくて(   ) 答えたのに、正解だった。
 1. でたらめに 
 2. わがままに 
 3. ぎざぎざに 
 4. ごちゃごちゃに",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"昨夜はこの冬でいちばんの寒さとなり、最低気温はマイナス20度に( )。
 1. 減った 
 2. 達した 
 3. 通じた 
 4. 沈んだ",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"来月の結婚式に向けて準備が ( ) 進んでいる。
 1. 着々と 
 2. 慎重に 
 3. いちいち 
 4. ぐんぐん",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"最近、物価が( )している。
 1. 増加 
 2. 上達 
 3. 増大 
 4. 上昇",4,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"ちょうどいい( )で警官が通りかかったので、助かった。
 1. タイマー 
 2. アクシデント 
 3. タイミング 
 4. アクション",3,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"遠慮はいらないので、いつでも( )声をかけてください。
 1. 無事に 
 2. 気軽に 
 3. 率直に 
 4. 器用に",2,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"Eメールに( )されたファイルが開けない。
 1. 輸送 
 2. 付属 
 3. 郵送 
 4. 添付",4,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"そんなに人のことを( )見るものではありませんよ。
 1. じろじろ 
 2. たまたま 
 3. さっさと 
 4. うっとり",1,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"その選手は体力( )まで走り続けた。
 1. 制限 
 2. 限界 
 3. 境界 
 4. 境目",2,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"彼はその出来事がきっかけで、医者になる決意を ( )。
 1. 固めた 
 2. まとめた 
 3. 仕上げた 
 4. 合わせた",1,,問題４ ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"あの町の人口は ( )減少している。
 1. 軽々と 
 2. 順々に 
 3. 徐々に 
 4. 細々と",3,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"最近、 物価が( )している。
 1. 増加 
 2. 上達 
 3. 増大 
 4. 上昇",4,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"多くの人が旅行する( )は、飛行機のチケットが高い。
 1. シリーズ 
 2. タイム 
 3. シーズン 
 4. チャンス",3,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"私の上司はとても( )で、今まで怒ったのを見たことがない。
 1. 優良 
 2. 温暖 
 3. 良性 
 4. 温厚",4,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"この数カ月、 新しいゲームが ( )発売されている。
 1. 相次いで 
 2. 間もなく 
 3. ぐんぐん 
 4. すいすい",1,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"池田さんはまじめすぎて、 冗談が ( )。
 1. 当たらない 
 2. 渡らない 
 3. 構わない 
 4. 通じない",4,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"このホテルの宿泊料金には、朝食も( )いる。
 1. 含まれて 
 2. 納めて 
 3. 割り込まれて 
 4. 詰め込まれて",1,,問題４ （ ）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。
"日本の10年後の人口を、様々なデータから( )した。
 1. 予測 
 2. 予報 
 3. 予感 
 4. 予習",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"川の水が茶色く( ) いて、底の方が見えない。
 1. くもって 
 2. かくれて 
 3. にごって 
 4. くずれて",3,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"この書類に必要なことを記入して窓口に提出すれば、手続きは( )します
 1. 完了 
 2. 決定 
 3. 実現 
 4. 達成",1,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"栄養の( )を考えて、いろいろなものを食べましょう。
 1. ストレス 
 2. バランス 
 3. チェンジ 
 4. ステップ",2,,問題4 ( )に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
