Question,Answers,Comment,freq
神輿,みこし,,32156
吃驚,びっくり,,32362
幸先,さいさき,,32413
時雨,しぐれ,,32637
早乙女,さおとめ,,32864
初心,うぶ,,33001
仲人,なこうど,,33151
大刀,たち,,33248
固唾,かたず,,33431
渾名,あだな,,34033
泡沫,うたかた,,34070
旅籠,はたご,,34112
胡桃,くるみ,,34243
素面,しらふ,,34857
長刀,なぎなた,,34975
茄子,なす,,35107
百足,むかで,,35522
許婚,いいなずけ,,35805
蚊帳,かや,,36153
惚気,のろけ,,36366
木偶,でく,,36536
案山子,かかし,,36565
生姜,しょうが,,36627
泥濘,ぬかるみ,,36666
舳先,へさき,,36715
周防,すおう,,36909
気障,きざ,,37059
安芸,あき,,37120
土塊,つちくれ,,37161
牡蠣,かき,,37424
身動ぎ,みじろぎ,,37450
小童,こわっぱ,,37453
"如何
①事の次第。なりゆき。「先方の返答―による」
②どのように。「相手が強すぎて―ともし難い」
参考 :「いかに」の転。「いかが･どう」と読めば別の意になる。",いかん,,37601
両刃,もろは,,37938
自棄,やけ,,37956
難波,なにわ,,38031
襤褸,ぼろ,,38125
柄杓,ひしゃく,,38553
売女,ばいた,,38652
白湯,さゆ,,38938
蜻蛉,とんぼ,,39453
刷毛,はけ,,39658
此奴,こいつ,,39925
襦袢,じゅばん,,40014
達磨,ダルマ,,40116
神子,みこ,,40825
抽斗,ひきだし,,40857
雲雀,ひばり,,41029
泰,タイ,,41069
皐月,さつき,,41280
黒衣,くろご,,41301
譫言,うわごと,,41382
蝦夷,えぞ,,41731
烏帽子,えぼし,,41910
算盤,そろばん,,42024
合羽,かっぱ,,42042
胡坐,あぐら,,42116
寄席,よせ,,42239
仏蘭西,フランス,,42870
把手,とって,,43077
柘榴,ざくろ,,43168
対馬,つしま,,43178
独逸,ドイツ,,43286
強者,つわもの,,43301
小母さん,おばさん,,43382
八百万,やおよろず,,43809
坩堝,るつぼ,,43856
匕首,あいくち,,43921
反吐,へど,,44172
八百長,やおちょう,,44181
四阿,あずまや,,44224
蟷螂,かまきり,,44242
紫陽花,あじさい,,44607
小父さん,おじさん,,44702
下野,しもつけ,,44747
囃子,はやし,,45048
双六,すごろく,,45054
為替,かわせ,,45140
常陸,ひたち,,45812
方舟,はこぶね,,46046
科白,せりふ,,46154
但馬,たじま,,46161
巴里,パリ,,46428
綽名,あだな,,46838
遠江,とおとうみ,,47078
然程,さほど,,47136
反故,ほご,,47172
花魁,おいらん,,47202
縮緬,ちりめん,,47540
美作,みまさか,,47563
海人,あま,,47746
似非,えせ,,47807
彼処,あそこ,,48014
瓦斯,ガス,,48225
豊後,ぶんご,,48352
竜胆,りんどう,,48569
栗鼠,りす,,48751
日向,ひゅうが,,49003
螺子,ねじ,,49707
蔵人,くろうど,,49708
下総,しもうさ,,49709
何奴,どいつ,,49749
土竜,もぐら,,49820
山車,だし,,49821
上総,かずさ,,50113
丁稚,でっち,,50248
天晴,あっぱれ,,50623
洒落,しゃれ,,51102
卓袱台,ちゃぶダイ,,51810
御髪,おぐし,,52034
不知火,しらぬい,,52057
海月,くらげ,,52114
何某,なにがし,,52119
烏賊,いか,,52237
因幡,いなば,,52475
蝸牛,かたつむり,,52516
蚯蚓,みみず,,52914
木乃伊,ミイラ,,53122
躑躅,つつじ,,53243
隠岐,おき,,53365
大凡,おおよそ,,53532
更紗,サラサ,,53856
南瓜,カボチャ,,53903
檸檬,レモン,,53919
睦月,むつき,,54122
掏摸,すり,,54727
彼方此方,あちこち,,54773
石塊,いしころ,,54823
徒然,つれづれ,,54912
十六夜,いざよい,,55246
五月雨,さみだれ,,55255
美人局,つつもたせ,,55419
破落戸,ごろつき,,55754
注連縄,しめなわ,,55958
炒飯,チャーハン,,56302
干支,えと,,56429
殺陣,たて,,56454
露西亜,ロシア,,56710
新羅,しらぎ,,57216
灰汁,あく,,57274
胡座,あぐら,,57413
角力,すもう,,57437
鬼灯,ほおずき,,57460
跣足,はだし,,57468
東風,こち,,57544
胡瓜,きゅうり,,57619
幼気,いたいけ,,58105
倫敦,ロンドン,,58448
只管,ひたすら,,58762
伯耆,ほうき,,58859
基督,キリスト,,59028
漏斗,じょうご,,59240
壱岐,いき,,59265
曲輪,くるわ,,59761
家鴨,あひる,,59820
御手洗,みたらし,,59909
深傷,ふかで,,60030
雪洞,ぼんぼり,,60369
三和土,たたき,,60431
真砂,まさご,,60929
鍍金,めっき,,61036
防人,さきもり,,61362
飛礫,つぶて,,62018
肌理,きめ,,62040
浪速,なにわ,,62052
醜男,ぶおとこ,,62159
水脈,みお,,62202
豊前,ぶぜん,,62204
俱楽部,クラブ,,62240
麻疹,はしか,,62568
白面,しらふ,,62729
釉薬,うわぐすり,,62770
鏑矢,かぶらや,,62972
梃子,てこ,,63134
秋刀魚,さんま,,63218
然様,さよう,,63372
其奴,そいつ,,63716
少輔,しょう,,63842
反古,ほご,,63930
為人,ひととなり,,64228
斑鳩,いかる,,64662
手練,てだれ,,64701
小火,ぼや,,65035
羅馬,ローマ,,65213
発条,ばね,,65568
香具師,やし,,65641
帷子,かたびら,,65718
小波,さざなみ,,66302
所縁,ゆかり,,66368
真面,まとも,,67057
石榴,ざくろ,,67127
蛞蝓,なめくじ,,67632
流離,さすらい,,67952
燐寸,マッチ,,68164
西班牙,スペイン,,68511
益荒男,ますらお,,68772
山葵,わさび,,69228
無花果,いちじく,,69237
河豚,ふぐ,,69327
子規,ほととぎす,,69856
就中,なかんずく,,70060
柘植,つげ,,70139
母衣,ほろ,,70141
葛籠,つづら,,70253
飛蝗,ばった,,70430
御酒,みき,,70468
雉子,きじ,,70602
欧羅巴,ヨーロッパ,,71051
鴛鴦,おしどり,,71239
股座,またぐら,,71375
現世,うつしよ,,72601
郁子,むべ,,72834
羊歯,しだ,,72872
伊太利,イタリア,,72970
熨斗,のし,,73304
微睡,まどろみ,,73311
掃部,かもん,,73359
顳顬,こめかみ,,73529
虎子,まる,,73701
時化,しけ,,73910
濁声,だみごえ,,74033
骰子,さいころ,,74464
皇女,みこ,,74501
泥鰌,どじょう,,74966
山茶花,さざんか,,75238
縹緻,きりょう,,75493
蟋蟀,こおろぎ,,75677
何所,どこ,,76066
悪阻,つわり,,76091
時鳥,ほととぎす,,76123
朔日,ついたち,,76370
杜若,かきつばた,,76447
長押,なげし,,76545
英吉利,イギリス,,76682
水母,くらげ,,77208
亜細亜,アジア,,78134
玉蜀黍,とうもろこし,,78175
乾児,こぶん,,78276
今際,いまわ,,78831
烽火,のろし,,78940
百済,くだら,,78971
晦日,みそか,,79080
矢作,やはぎ,,79145
速歩,はやあし,,79223
糸瓜,へちま,,79562
罌粟,けし,,79724
蛭子,えびす,,80133
軍鶏,しゃも,,80170
其所,そこ,,80536
鶏冠,とさか,,80543
海星,ひとで,,80551
海鼠,なまこ,,80801
旋毛,つむじ,,81518
樵夫,きこり,,81642
可惜,あたら,,81798
甘藷,さつまいも,,82175
湯女,ゆな,,82362
政所,まんどころ,,82845
心太,ところてん,,82856
魚籠,びく,,82924
炬,たいまつ,,83106
大蒜,にんにく,,83337
流鏑馬,やぶさめ,,83340
小竹,ささ,,83506
卯木,うつぎ,,83839
百舌,もず,,83841
伴天連,バテレン,,84423
征矢,そや,,84477
百日紅,さるすべり,,85038
土筆,つくし,,86088
埃及,エジプト,,86168
護謨,ゴム,,86455
流行,はやり,,86602
飛白,かすり,,86740
賽子,さいころ,,87049
蜈蚣,むかで,,87317
絡新婦,じょろうぐも,,87786
不束,ふつつか,,88407
乾分,こぶん,,88531
浮腫,むくみ,,88938
女郎花,おみなえし,,89842
細雪,ささめゆき,,90071
朱鷺,とき,,90313
芥子,からし,,90328
小雀,こがら,,90353
浅葱,あさつき,,90701
唐土,もろこし,,90956
等閑,なおざり,,91076
浪花,なにわ,,91393
銀杏,いちょう,,91601
蒲公英,たんぽぽ,,92108
海豚,いるか,,92185
幾許,いくばく,,92298
伯林,ベルリン,,92586
此所,ここ,,93513
九十九折,つづらおり,,93530
章魚,たこ,,94159
虎杖,いたどり,,94516
紐育,ニューヨーク,,94611
雀斑,そばかす,,95128
裲襠,うちかけ,,95208
啄木鳥,きつつき,,95259
襁褓,おしめ,,95427
澪標,みおつくし,,95681
博奕,ばくち,,95701
黄楊,つげ,,95868
浪華,なにわ,,96415
栄螺,さざえ,,96806
注連,しめ,,96953
臥所,ふしど,,96977
西比利亜,シベリア,,97326
水手,かこ,,98065
御頭,おつむ,,98091
海嘯,つなみ,,98349
五月,さつき,,98702
徒歩,かち,,98801
木瓜,ぼけ,,98974
痘痕,あばた,,99116
稚子,みずこ,,99434
胞衣,えな,,99454
似而非,えせ,,99759
虫唾,むしず,,100014
冬瓜,とうがん,,100395
白楊,はこやなぎ,,100425
茱萸,ぐみ,,101043
濁酒,どぶろく,,101311
未通女,おぼこ,,101443
為体,ていたらく,,102038
燕子花,かきつばた,,102556
鳥渡,ちょっと,,103406
傴僂,せむし,,103535
直衣,のうし,,103602
弥撒,ミサ,,104590
明明後日,しあさって,,105195
信天翁,あほうどり,,105279
清白,すずしろ,,105340
雲丹,うに,,105705
海豹,あざらし,,105771
褞袍,どてら,,105798
土耳古,トルコ,,106580
紙魚,しみ,,106582
驀地,まっしぐら,,106624
混凝土,コンクリート,,107764
酸漿,ほおずき,,107825
梔子,くちなし,,108093
手弱女,たおやめ,,108135
石蕗,つわぶき,,108739
独活,うど,,109364
肉刺,まめ,,109460
田鶴,たず,,109890
公孫樹,いちょう,,110300
和毛,にこげ,,110479
馬喰,ばくろう,,110597
汗疹,あせも,,110727
静寂,しじま,,111001
紅娘,てんとうむし,,111384
猶太,ユダヤ,,111615
柑子,こうじ,,111639
糯米,もちごめ,,111747
勿忘草,わすれなぐさ,,111778
菖蒲,あやめ,,111901
荒屋,あばらや,,111967
蟒蛇,うわばみ,,112116
畳紙,たとうがみ,,113308
合歓,ねむ,,113384
櫺子,れんじ,,113458
浅傷,あさで,,113555
御神輿,おみこし,,113700
擬宝珠,ぎぼし,,113723
俠気,おとこぎ,,113814
総角,あげまき,,114600
脛巾,はばき,,114614
早稲,わせ,,114815
首途,かどで,,115637
糸魚,いとよ,,116463
愛蘭,アイルランド,,116483
鯨波,とき,,116746
熊襲,くまそ,,116827
瑞西,スイス,,116839
胼胝,たこ,,117282
不如帰,ほととぎす,,117453
神巫,いちこ,,118236
海栗,うに,,118419
審神者,さにわ,,118630
山毛欅,ぶな,,118657
馬酔木,あせび,,119108
杜鵑,ほととぎす,,119225
奈何,いかん,,119235
慈姑,くわい,,119459
梧桐,あおぎり,,119559
素戔嗚尊,すさのおのみこと,,119656
早生,わせ,,119678
三行半,みくだりハン,,120330
客人,まろうど,,120801
金糸雀,カナリア,,120862
浮子,うき,,121241
弾機,ばね,,121518
曽孫,ひまご,,121640
病葉,わくらば,,122483
繁縷,はこべ,,123078
蘇格蘭,スコットランド,,123373
松毬,まつかさ,,123498
木賊,とくさ,,123535
吉方,えほう,,123678
野老,ところ,,124080
水鶏,くいな,,124207
腋臭,わきが,,124226
囈語,うわごと,,124416
石竜子,とかげ,,125795
瞽女,ごぜ,,126290
黄泉国,よもつくに,,126484
束子,たわし,,127042
吃逆,しゃっくり,,127099
紙縒,こより,,127397
眉庇,まびさし,,127915
五倍子,ふし,,129200
澳門,マカオ,,129334
囚獄,ひとや,,129411
聖林,ハリウッド,,129460
更衣,ころもがえ,,129501
蜉蝣,かげろう,,129734
陸稲,おかぼ,,130167
螻蛄,けら,,130352
半被,はっぴ,,130370
寄生木,やどりぎ,,130669
白耳義,ベルギー,,130843
蟇蛙,ひきがえる,,130900
木通,あけび,,131406
射干玉,ぬばたま,,132011
雪踏,せった,,134659
経糸,たていと,,134699
仙人掌,サボテン,,134714
垂髪,すべらかし,,134750
尨犬,むくいぬ,,134796
蜷局,とぐろ,,134867
維納,ウィーン,,134947
蕁麻,いらくさ,,135039
微温湯,ぬるまゆ,,135692
丁髷,ちょんまげ,,136102
若布,わかめ,,136782
噯気,おくび,,136922
零余子,むかご,,138380
巻子,へそ,,138936
山鼠,やまね,,139042
烏玉,ぬばたま,,139137
雛罌粟,ひなげし,,139260
側妻,そばめ,,139497
山茶,つばき,,139749
梨子地,なしじ,,139977
葡萄牙,ポルトガル,,140577
海胆,うに,,141125
蚕豆,そらまめ,,141395
鷦鷯,みそさざい,,142004
敵娼,あいかた,,142167
御神籤,おみくじ,,142786
亜弗利加,アフリカ,,143154
翌檜,あすなろ,,145034
随神,かんながら,,145764
丁抹,デンマーク,,145901
榕樹,がじゅまる,,146051
守宮,やもり,,146095
__九十九__髪，九十九,つくも,,not
豪猪,やまあらし,,146356
松魚,かつお,,147153
彼所,あそこ,,147186
捻子,ねじ,,147387
萵苣,ちしゃ,,147438
緯糸,よこいと,,147700
沙魚,はぜ,,148135
海驢,あしか,,148159
加答児,カタル,,148287
暹羅,シャム,,148374
苜蓿,うまごやし,,148483
齲歯,むしば,,148634
木蘭,モクレン,,148977
木菟,みみずく,,149340
犠牲,いけにえ,,149901
生絹,すずし,,149930
伊弉諾尊,いざなぎのみこと,,150786
面皰,にきび,,151037
馴鹿,トナカイ,,151099
比目魚,ひらめ,,151383
忍冬,すいかずら,,151573
雲脂,ふけ,,151855
何方,どちら,,151902
伊弉冉尊,いざなみのみこと,,152721
再従兄弟,はとこ,,152912
二十重,はたえ,,153124
鞦韆,ぶらんこ,,153458
主典,さかん,,155354
海雲,もずく,,156033
黒揚羽蝶,くろあげは,,156122
米利堅,メリケン,,156292
蜚蠊,ごきぶり,,157345
十姉妹,じゅうしまつ,,157608
兎唇,いぐち,,157901
延縄,はえなわ,,158372
阿弗利加,アフリカ,,158601
鰥夫,やもめ,,158970
朱欒,ざぼん,,159210
淡竹,はちく,,159469
蠑螈,いもり,,159472
辛夷,こぶし,,159473
伊邪那美命,いざなみのみこと,,159478
波蘭,ポーランド,,159490
合歓木,ねむのき,,159935
洋杯,コップ,,160032
拍手,かしわで,,160201
蜀黍,もろこし,,160221
紙撚,こより,,160910
刺草,いらくさ,,161042
御菜,おかず,,161387
胝,たこ,,161738
木耳,きくらげ,,162114
杜松,ねず,,162122
蟾蜍,ひきがえる,,162256
胸座,むなぐら,,162381
幾何,いくばく,,162401
和布,わかめ,,162410
蟀谷,こめかみ,,162612
山雀,やまがら,,163085
犢鼻褌,ふんどし,,164186
檜皮,ひわだ,,164796
粗目,ざらめ,,165024
女相撲,おんなずもう,,165272
秦皮,とねりこ,,165420
羚羊,かもしか,,165577
琴柱,ことじ,,165635
蕃椒,とうがらし,,166072
埴生,はにゅう,,166830
探湯,くかたち,,167690
孑孑,ぼうふら,,167744
紫雲英,げんげ,,167860
沢瀉,おもだか,,168423
仕舞屋,しもたや,,168485
稲架,はさ,,168733
苦汁,にがり,,169202
接骨木,にわとこ,,169425
鼬鼠,いたち,,169526
莫斯科,モスクワ,,170745
弱竹,なよたけ,,171211
禊萩,みそはぎ,,171568
紅天蛾,べにすずめ,,171921
羊蹄,ぎしぎし,,172848
旗魚,かじき,,173021
蒲葵,びろう,,173167
木末,こぬれ,,174423
伊邪那岐命,いざなぎのみこと,,174671
祝女,のろ,,174698
眉尖刀,なぎなた,,174926
表着,うわぎ,,175294
胡簶,やなぐい,,175522
角髪,みずら,,175947
掏児,すり,,176748
繁吹,しぶき,,177204
希伯来,ヘブライ,,177986
花鶏,あとり,,178086
召人,めしゅうど,,178553
不見転,みずテン,,178575
海蘊,もずく,,178579
蹈鞴,たたら,,179814
比律賓,フィリピン,,180497
壬生菜,みぶな,,181720
麻幹,おがら,,181863
木天蓼,またたび,,182056
鼯鼠,むささび,,182323
木槿,むくげ,,182603
各各,おのおの,,182604
成吉思汗,ジンギスかん,,182647
車前,おおばこ,,183213
黄櫨,はぜのき,,183437
二幅,ふたの,,184272
山脈,やまなみ,,184401
胡頽子,ぐみ,,184793
満天星,どうだんつつじ,,184873
膃肭臍,おっとせい,,185052
海松,みる,,185167
十露盤,そろばん,,185175
壁蝨,だに,,186033
私語,ささめき,,186101
雪消,ゆきげ,,186128
浮塵子,うんか,,186146
映日果,いちじく,,186200
白地,あからさま,,186501
芹子,せり,,186608
虎魚,おこぜ,,187286
左手,ゆんで,,187301
覇王樹,サボテン,,188415
大夫,たゆう,,188702
迫間,はざま,,189150
魚子,ななこ,,189502
芋茎,ずいき,,189994
海象,せいうち,,190374
塩汁,しょっつる,,191929
按察使,あぜち,,192259
諸諸,もろもろ,,192841
斑馬,しまうま,,192875
大鋸屑,おがくず,,193024
蒲桃,ふともも,,193051
黄鶏,かしわ,,193827
智利,チリ,,194433
機関,からくり,,194602
編木,びんざさら,,194815
西貢,サイゴン,,195181
加特力,カトリック,,195509
山梔子,くちなし,,195545
諾威,ノルウェー,,195930
提子,ひさげ,,196073
窒扶斯,チフス,,196623
加奈陀,カナダ,,196759
墨西哥,メキシコ,,197049
鳶尾,いちはつ,,197853
訛声,だみごえ,,197938
馬銜,はみ,,198022
紫丁香花,むらさきはしどい,,198470
水亀,いしがめ,,198524
為所,しどころ,,198597
嬥歌,かがい,,198785
瞿麦,なでしこ,,199554
蝲蛄,ざりがに,,199717
黄鼬,てん,,199864
生薑,しょうが,,200151
水松,みる,,200355
翻筋斗,もんどり,,201038
郭公,ほととぎす,,201184
裳層,もこし,,202128
螺旋,ねじ,,202601
盗汗,ねあせ,,202905
真葛,さねかずら,,203398
矮鶏,チャボ,,203732
鳳蝶,あげはちょう,,203813
七五三縄,しめなわ,,204541
天牛,かみきりむし,,204596
剣橋,ケンブリッジ,,204664
従祖父,おおおじ,,204981
海石榴,つばき,,205050
酢漿草,かたばみ,,205335
馬陸,やすで,,205578
芬蘭,フィンランド,,205834
目差,まなざし,,206127
晩稲,おくて,,206585
白茅,ちがや,,208149
灼然,いやちこ,,208847
含羞草,おじぎそう,,209077
甲矢,はや,,210066
河骨,こうほね,,210895
白膠木,ぬるで,,211017
莫大小,メリヤス,,211585
寄居虫,やどかり,,212051
黄瓜,きゅうり,,212085
猟虎,らっこ,,212364
細魚,さより,,213045
狗尾草,えのころぐさ,,213876
錫蘭,セイロン,,214204
望潮,しおまねき,,214237
細石,さざれいし,,214694
素湯,さゆ,,214744
紙捻,こより,,215171
挿頭,かざし,,215768
天蚕,やままゆ,,215865
踏鞴，__踏鞴__を踏む,たたら,,216729
雁来紅,はげいとう,,217050
野羊,やぎ,,219123
媒鳥,おとり,,219447
天蚕糸,てぐす,,219608
刀豆,なたまめ,,220483
蘿蔔,すずしろ,,220921
小女子,こうなご,,221496
風信子,ふうしんし,,221663
沓手鳥,ほととぎす,,222436
晩生,おくて,,222710
明白,あからさま,,223001
蝦蛄,しゃこ,,223579
甃石,しきいし,,223707
胡床,あぐら,,223825
尨毛,むくげ,,223968
淋巴,リンパ,,224011
無患子,むくろじ,,224060
小啄木鳥,こげら,,224214
頭垢,ふけ,,224485
為手,して,,224742
螳螂,かまきり,,224802
大角豆,ささげ,,224873
欠唇,いぐち,,225364
酸模,すかんぽ,,225556
豇豆,ささげ,,225832
一昨昨年,さきおととし,,226860
大蚊,ががんぼ,,227629
天糸瓜,へちま,,228235
通草,あけび,,228369
迷迭香,まんねんろう,,229331
海馬,とど,,229502
征箭,そや,,230199
益益,ますます,,230340
大蜈蚣,おおむかで,,230400
拉丁,ラテン,,231370
豆汁,ご,,231385
小灰蝶,しじみちょう,,231794
海盤車,ひとで,,231970
蔓荊,はまごう,,232188
虎列剌,コレラ,,232485
三椏,みつまた,,233630
氈鹿,かもしか,,234376
蔦紅葉,つたもみじ,,235783
正面,まとも,,236201
海鷂魚,えい,,236667
螟虫,ずいむし,,237637
羅甸,ラテン,,237817
搾菜,ザーサイ,,237876
火魚,かながしら,,238071
御祖父さん,おじいさん,,238111
按察,あぜち,,238212
二布,ふたの,,238440
華盛頓,ワシントン,,238726
水蚤,みじんこ,,238796
石斑魚,うぐい,,238947
綜麻,へそ,,239400
没分暁漢,わからずや,,239570
蚰蜒,げじげじ,,239960
蜀魂,ほととぎす,,240700
海猟,らっこ,,241522
索麺,そうめん,,241657
水黽,あめんぼ,,241736
爪哇,ジャワ,,241921
白飛白,しろがすり,,244838
川原毛,かわらげ,,245066
堅魚,かつお,,245723
障泥,あおり,,246229
公魚,わかさぎ,,246269
鱲子,からすみ,,246778
唐黍,もろこし,,246921
水芹,せり,,246978
喇嘛教,ラマキョウ,,248090
川骨,こうほね,,249012
細螺,きさご,,249052
濁醪,どぶろく,,249562
車前草,おおばこ,,249938
蹲踞,つくばい,,249965
石蚕,いさごむし,,250505
竹柏,なぎ,,250590
尸童,よりまし,,250768
忠実,まめ,,251601
海螺,つぶ,,252069
虎落,もがり,,252165
磯蚯蚓,いそめ,,252418
三十三才,みそさざい,,253557
型録,カタログ,,254113
蕺草,どくだみ,,254196
海鞘,ほや,,254448
斑気,むらき,,255321
虚事,そらごと,,255494
吾亦紅,われもこう,,256971
闋,くさり,,257187
神馬藻,ほんだわら,,257276
泥障,あおり,,258378
海鼠腸,このわた,,259279
柳葉魚,ししゃも,,259508
剪刀,はさみ,,259781
鉄葉,ブリキ,,259938
赤魚鯛,あこうだい,,259971
秘露,ペルー,,261864
荒家,あばらや,,262311
蜻蜓,とんぼ,,262518
不生女,うまずめ,,262664
鹿尾菜,ひじき,,262778
羊栖菜,ひじき,,263648
転寝,ごろね,,264027
交譲木,ゆずりは,,264032
衣魚,しみ,,264094
伯剌西爾,ブラジル,,264387
一向,ひたすら,,264901
黍魚子,きびなご,,265427
泛子,うき,,265818
鼹鼠,うごろもち,,265890
仮寝,うたたね,,266994
日雀,ひがら,,267116
瓢虫,てんとうむし,,267537
玉章,たまずさ,,267779
煙火,はなび,,268046
怪鴟,よたか,,268602
熟熟,つくづく,,268652
天蛾,すずめが,,269239
髻華,うず,,269618
新西蘭,ニュージーランド,,270471
蜾蠃,すがる,,270613
豆腐皮,ゆば,,270750
葦雀,よしきり,,271187
梭魚,かます,,272057
寡男,やもお,,272892
眼間,まなかい,,273520
生節,なまりぶし,,273653
漆樹,うるし,,274150
追而書,おってがき,,274762
移徙,わたまし,,274985
海獺,らっこ,,275100
霍公鳥,ほととぎす,,275125
海地,ハイチ,,276283
莎草,くぐ,,276604
防已,つづらふじ,,277045
五加,うこぎ,,277404
山杜鵑,やまほととぎす,,280430
牛尾魚,こち,,282104
鼯鼠,ももんが,,282745
鵲豆,ふじまめ,,282925
礬水,どうさ,,283138
埋葬虫,しでむし,,283146
胡籙,やなぐい,,283310
告天子,ひばり,,283335
酸塊,すぐり,,284083
沙蚕,ごかい,,284859
保合,もちあい,,284934
冬眠鼠,やまね,,286251
