Question,Answers,Comment,Freq,Instructions,Render as
__朕__は国家なり,チン,"［朕］凖二級
音: チン／ジン 訓: 
意味: 我(われ)、自分を指す語、古くは貴賎問わずに用いたが、秦(紀元前221年～前206年)の始皇帝シコウテイ(紀元前259年～前210年)の定めによって以降は天子だけが用いるようになった。
表に現れ出る兆(きざ)し、兆候、同「眹」。",朕 → JPDB Kanji Freq: 3013,漢字の読みを入力してください,Text
__哺__乳，類__哺__育,ホ,"［哺］二級
音: ホ／ブ 訓: 
意味: 食物(餌)を口に含む、口に入れただけで呑み込まない状態を指す、同「㕮」。
母鳥(母親)が口に含み柔らかくした餌(食べ物)を雛鳥(赤子)に口移(くちうつ)しで与える。",哺 → JPDB Kanji Freq: 2992,漢字の読みを入力してください,Text
語__彙__，辞__彙__,イ,"［彙］二級
音: イ 訓: 
意味: 針鼠(ハリネズミ)、ハリネズミ亜科の哺乳類の総称、針のように尖った毛を持つ小形の動物、同「蝟(猬)」。
類たぐい、同類(同様)のもの、またその集まり、同「類」。
同様のものが集まり一つになる、同様のものを一つに纏(まと)める、また一つに纏めたもの、同簡「汇」。",彙 → JPDB Kanji Freq: 2979,漢字の読みを入力してください,Text
__毀__損，__毀__誉,キ,"［毀］二級
音: キ 訓: こわ・す／こわ・れる／こぼ・つ
意味: 壊(こわ)す、壊れる、破(やぶ)る、破れる、欠ける、傷付ける、損(そこ)なう。
謗(そし)る、人を悪く言う、悪意を持ってあれこれと言い立てる。
悲しみや心労で衰弱する、体を壊す。",毀 → JPDB Kanji Freq: 2953,漢字の読みを入力してください,Text
__鋳__造，__鋳__鉄，改__鋳__,チュウ,"［鋳］三級
音: チュウ／シュ／ス 訓: い・る
意味: 金属を溶かし型に流し入れて目的の形に造る、鋳造(チュウゾウ)。
目的の形に(型通りに)作り上げる。",鋳 → JPDB Kanji Freq: 2909,漢字の読みを入力してください,Text
一__升__瓶，__升__平,ショウ,"［升］凖二級
音: ショウ 訓: ます
意味: 容量の単位、1升=10合{各種単位}。
容量を量る枡(ます)。
布の経糸(たていと)の数の単位、【西京雜記】によれば1升=2䌰=10絲(10本)、【儀禮】によれば1升=80縷、いずれも布幅が示されていない。
昇(のぼ)る、上の方向に行く、同「昇」。
登(のぼ)る、高い方(上の方)に進む、同「登」「陞」。
穀物が実る、また熟す、同「登」。",升 → JPDB Kanji Freq: 2876,漢字の読みを入力してください,Text
__俸__給，年__俸__，本__俸__,ホウ,"［俸］凖二級
音: ホウ／ブ 訓: 
意味: 扶持(ふち)、(特に役人の)給料。",俸 → JPDB Kanji Freq: 2866,漢字の読みを入力してください,Text
__蚕__糸，__蚕__食，養__蚕__,サン,"［蚕］五級
音: サン／ゾン 訓: かいこ
意味: 蜸蚕(ケンサン)、ミミズ蚯蚓、環形動物門貧毛綱に属する動物の総称。
カイコ蚕、カイコガ科カイコガ属の昆虫の幼虫、同「蠶」。
繁「蠶」、「蚕」は「蠶」の俗字。",蚕 → JPDB Kanji Freq: 2861,漢字の読みを入力してください,Text
__嗣__子，嫡__嗣__,シ,"［嗣］凖二級
音: シ／ジ 訓: 
意味: (家や位などを)継ぐ、(流派・系統などを)受け継ぐ。
後継コウケイ、世継ぎ、跡継ぎ。",嗣 → JPDB Kanji Freq: 2838,漢字の読みを入力してください,Text
__窯__業，__窯__変,ヨウ,"［窯］凖二級
音: ヨウ 訓: かま
意味: 陶器トウキや煉瓦レンガを焼くための土などで囲った穴。",窯 → JPDB Kanji Freq: 2798,漢字の読みを入力してください,Text
__寡__黙，__寡__婦，多__寡__,カ,"［寡］凖二級
音: カ／ケ 訓: すくな・い／やもめ
意味: すくな・い、少ない、数や度量ドリョウ(ものの多少・軽重・長短・高低・深浅・強弱など)が、あるべき(必要とする)数や度量に足りない、またそれに及ばない、同「少」、多いのは「多」。
やもめ、夫を亡くした独(ひと)り身の妻、寡婦(カフ)。
諸侯が謙(へりくだ)って自分や自分に関わる人を指す語、寡君(カクン)(わたくしの主あるじ)」。",寡 → JPDB Kanji Freq: 2776,漢字の読みを入力してください,Text
九分九__厘__，一分一__厘__,リン,"［厘］三級
音: リ／テン／デン／リン 訓: 
意味: 市廛シテン、城下の割り当てられた宅地に構えた店、その店舗兼住宅には税が課せられたが商売による利益は税が免除された。
長さの単位、重量の単位、面積の単位、百分の一、10の-2乗、センチcenti、1尺=10分=100釐(厘)、同「釐」{各種単位}{各種単位}{数字}。
繁「釐」。",厘 → JPDB Kanji Freq: 2775,漢字の読みを入力してください,Text
__舶__来，船__舶__,ハク,"［舶］凖二級
音: ハク／ビャク 訓: 
意味: 外洋を航行できる大型の船、同「艑」。",舶 → JPDB Kanji Freq: 2773,漢字の読みを入力してください,Text
土__壌__，天__壌__,ジョウ,"［壌］凖二級
音: ジョウ／ニョウ 訓: 
意味: 柔らかい土、耕(たがや)して柔らかくした土。
土地、大地。
作物が豊かに実る、同「穰」。",壌 → JPDB Kanji Freq: 2772,漢字の読みを入力してください,Text
遺__憾__,カン,"［憾］凖二級
音: カン／ゴン 訓: 
意味: 恨(うら)む、(思いの通りにならないことを、或いはならなかったことを)残念に思う、思いが満たされない、同「恨」。
遺憾(イカン)、満たされない思いが残る。",憾 → JPDB Kanji Freq: 2770,漢字の読みを入力してください,Text
凡__庸__，中__庸__,ヨウ,"［庸］凖二級
音: ヨウ／ユウ 訓: 
意味: 良いものを選び用いる、人を登用する。
報酬や手数料を払って人を用いる、人を雇う、同「傭」。
他と或いは何時もと何ら変わらない、一般的な、普通の。
古代の税「租・庸・調」の一つで一定期間の労役ロウエキ、租(ソ)は田畑などからの収穫物、調(チョウ)は穀物以外の布などの現物。",庸 → JPDB Kanji Freq: 2768,漢字の読みを入力してください,Text
疫__痢__，下__痢__，赤__痢__,リ,"［痢］凖二級
音: リ 訓: 
意味: 粘液状また液状の分泌物(柔らかい便)を伴う病気の総称、下痢(ゲリ)(柔らかい便が出ること)」、赤痢(セキリ)(激しい下痢を伴う病気)」。
、瘌痢(ラツリ)、黄癬オウセンなどの髪が抜け落ちる頭皮の皮膚病、同「鬎鬁」。",痢 → JPDB Kanji Freq: 2764,漢字の読みを入力してください,Text
__汎__用，__汎__論,ハン,"［汎］二級
音: ハン／ホン 訓: 
意味: 水面や空中に浮(う)かぶ、浮かび漂(ただよ)う、同「泛」。
(水が)一面に広がり覆(おお)う、一面に広がる、広く隅々まで行き渡る、同「氾」「泛」。",汎 → JPDB Kanji Freq: 2754,漢字の読みを入力してください,Text
__緻__密，精__緻__,チ,"［緻］二級
音: チ／ジ 訓: 
意味: 肌理(きめ)が細かい、目がぎっしりと詰まっている、またそのような布、同簡「致」。
解(ほつ)れや破れを縫(ぬ)い繕(つくろ)った衣服、継ぎ接ぎ(つきはぎ)した衣服。",緻 → JPDB Kanji Freq: 2743,漢字の読みを入力してください,Text
__濫__伐，__濫__費，__濫__用,ラン,"［濫］三級
音: ラン 訓: みだ・り／みだ・りに
意味: 水が一面に満ちて溢(あふ)れる、水が(堰や堤を越えて)外に溢(あふ)れ出る、同「灠」。
度を越えて、無闇(むやみ)に、勝手気ままな、「堰や堤のような限度や限界を越えれば制御できない、そのような振る舞い」の意。",濫 → JPDB Kanji Freq: 2741,漢字の読みを入力してください,Text
__桟__，__桟__橋,サン,"［桟］凖二級
音: サン／セン 訓: かけはし／さ
意味: 木や板を横に並べて架け渡した道、また橋、同「閣」、桟道(サンドウ)「桟橋(さんばし)」。
板を並べて作ったもの、板張りの床や簀子サクシ(すのこ)。
倉庫、宿屋、いずれも床が板敷であったことから。
(家畜を飼育するための)木や板を渡した囲い。
日屋根や床の下に張り渡す木、障子戸などの骨木、梯子の踏板、下支えしたり補強したりするための木。
日。",桟 → JPDB Kanji Freq: 2728,漢字の読みを入力してください,Text
__賦__する，__賦__役，月__賦__，天__賦__,フ,"［賦］四級
音: フ 訓: 
意味: 公(おおやけ、政府)が人民に割り当てた財物や労力を徴収・徴用する、人民が公に財物や労力を差し出す、賦税(フゼイ)(税、租税)」、賦役(フエキ)(税と労役)」。
それぞれに割り当てる。
広くそれぞれに(一人一人に)分け与える、それぞれに授(さず)ける、、賦与(フヨ)。
詩を詠(よ)む。
詩経の六義リクギ(詩の内容と表現法を「風・雅・頌」と「賦・比・興」の六つに分類したもの)の一つ。",賦 → JPDB Kanji Freq: 2725,漢字の読みを入力してください,Text
__旺__盛，__旺__然,オウ,"［旺］二級
音: オウ 訓: 
意味: 美しい光が四方に輝き広がる、同「𣇭」。
勢いがあるさま、盛んなさま、活力や気力が満ち溢れるさま。",旺 → JPDB Kanji Freq: 2723,漢字の読みを入力してください,Text
湖__畔__,ハン,"［畔］三級
音: ハン／バン 訓: あぜ
意味: 田畑の区切り(境界)、同「畦」。
水(川・海・湖・池など)と地面の境目、岸辺(きしべ)、水面よりも高くなっているところ(地面が現れているところ)、同「溿」「泮」「沜」。
自分の意に添わず離れて行く、離反する。
「畔援(ハンエン)」畔換(ハンカン)、傍若無人ボウジャクブジンなさま、勝手気ままに振る舞うさま。",畔 → JPDB Kanji Freq: 2720,漢字の読みを入力してください,Text
__吏__員，官__吏__，能__吏__,リ,"［吏］三級
音: リ 訓: 
意味: 役人、特に実務を担う下級の役人。",吏 → JPDB Kanji Freq: 2713,漢字の読みを入力してください,Text
食い__扶__持，__扶__助，__扶__養，__扶__育,フ,"［扶］凖二級
音: フ／ブ 訓: たす・ける
意味: 手を添え助ける、支え助ける、同「𢻳」。
扶桑(フソウ)東方の太陽が出るところにあるという神木、同「榑桑」東方の地日本の異称ブッソウゲ仏桑華、アオイ科フヨウ属の植物{ブッソウゲ}。
右扶風(ユウフフウ)、西漢代(前漢、前202年～9年)に首都長安チョウアン(現陝西省西安市)を中心に置かれた三つの行政区の一つ、京兆尹ケイチョウイン、左馮翊(サヒョウヨク)と合わせ、三輔(サンポ)と呼ばれた、現陝西省宝鶏市扶風フフウ県{陝西省}。",扶 → JPDB Kanji Freq: 2708,漢字の読みを入力してください,Text
__漸__次，__漸__進的，東__漸__,ゼン,"［漸］凖二級
音: セン／ゼン 訓: ようや・く
意味: 少しずつ(状態が進行する)、徐々に、じわじわと、漸進(ゼンシン)。
次第に(進む、進行する)、だんだんと、東漸(トウゼン)(次第に東に向かって進むこと、また流れること)」。
少しずつ水が浸(し)み込む、染(し)みる。
川名、現銭塘江(セントウコウ)、別名、浙江(セッコウ)、浙江省を流れ東シナ海に",漸 → JPDB Kanji Freq: 2707,漢字の読みを入力してください,Text
処方__箋__，便__箋__,セン,"［箋］二級
音: セン 訓: 
意味: 書物の表題や
手紙や詩文・書画などを書くために使われる札や用紙、同「牋」。
手紙。",箋 → JPDB Kanji Freq: 2696,漢字の読みを入力してください,Text
__脊__髄，__脊__柱,セキ,"［脊］二級
音: セキ／シャク 訓: せ／せい
意味: 背骨(せぼね)、椎骨ツイコツが連なり首から腰に至る骨、背の中央を小高く盛り上がりながら連なっている骨、頸椎(ケイツイ)、胸椎(キョウツイ)、腰椎(ヨウツイ)、仙椎(センツイ)、尾椎(ビツイ)から成る、同「呂」{人体(胴部)}。
背骨が小高く盛り上がっているところ、背骨や屋根の棟のように高みが連なっているところ。",脊 → JPDB Kanji Freq: 2685,漢字の読みを入力してください,Text
__硫__安，__硫__酸，__硫__化銀,リュウ,"［硫］凖二級
音: リュウ／ル 訓: 
意味: 硫黄(リュウオウ)(イオウ、Sulfur、S)」、元素名{硫黄}。",硫 → JPDB Kanji Freq: 2670,漢字の読みを入力してください,Text
岩__礁__，暗__礁__，さんご__礁__,ショウ,"［礁］凖二級
音: ショウ 訓: 
意味: 水面付近にまで突き出た岩。",礁 → JPDB Kanji Freq: 2668,漢字の読みを入力してください,Text
__殉__死，__殉__職，__殉__難,ジュン,"［殉］凖二級
音: シュン／ジュン 訓: 
意味: 主君の後を追って死ぬ、また死んで主君と一緒に埋葬される。
主人・使命・信仰・主義などのために命を投げ出す、またその覚悟で従う。",殉 → JPDB Kanji Freq: 2659,漢字の読みを入力してください,Text
__泌__尿器,ヒ,"［泌］三級
音: ヒツ／ビチ／ヒ 訓: 
意味: 泉から水が湧(わ)き出る、(小さい穴から、隙間から)流れ出る、同「毖」。
細々とした流れ。",泌 → JPDB Kanji Freq: 2649,漢字の読みを入力してください,Text
分__泌__,ヒツ,"［泌］三級
音: ヒツ／ビチ／ヒ 訓: 
意味: 泉から水が湧(わ)き出る、(小さい穴から、隙間から)流れ出る、同「毖」。
細々とした流れ。",泌 → JPDB Kanji Freq: 2649,漢字の読みを入力してください,Text
賄__賂__，貨__賂__,ロ,"［賂］二級
音: ロ／ル 訓: まいない
意味: 財貨、金品。
金品を人に贈る、寄贈する。
賄賂(ワイロ)、(自らの利益になるように便宜を図って貰おうという)不正な意図をもって他人に金品を贈る。",賂 → JPDB Kanji Freq: 2645,漢字の読みを入力してください,Text
__腎__臓，肝__腎__,ジン,"［腎］二級
音: シン／ジン 訓: 
意味: 尿を排泄する役目を担う臓器で五臓(心・肝・脾・肺・腎)の一つ、腰子(ヨウシ)ともいう{人体(内臓)}。
肝腎(カンジン)、(「肝」も「腎」も体にとって大切な部分の意から)物事の大切な部分、重要で欠かせない部分。",腎 → JPDB Kanji Freq: 2643,漢字の読みを入力してください,Text
__勾__配，__勾__留,コウ,"［勾］二級
音: コウ／ク 訓: 
意味: 曲がる、湾曲する、同「句」。
」Ｊ字状(鉤状)に曲がる、同「句」「鈎(鉤)」。
鉤(かぎ)状のものでひっかける、同「拘」。
言葉や文章の区切りの記号(」、閉じ鉤括弧、縦書きの場合はＬのような形で表す)や誤りであることや削除すことを示す記号(✓、チェックマーク、勾号)。",勾 → JPDB Kanji Freq: 2642,漢字の読みを入力してください,Text
__弐__万円,ニ,"［弐］四級
音: ジ／ニ 訓: 
意味: 副(そ)う、主となるものの傍に添(そ)う、副える、添える、同「副」「㒃」。
次(つ)ぐ、後(あと)に続く、後に加える。
補佐する、傍から手や力を貸して助ける、同「佐」。
二心(ふたごころ)を持つ、背(そむ)く。
(数字の)二、「二」の大写字(「一」は「壹」・「三」は「參」のような大文字のこと){数字}。",弐 → JPDB Kanji Freq: 2621,漢字の読みを入力してください,Text
__矯__正，奇__矯__,キョウ,"［矯］凖二級
音: キョウ 訓: た・める
意味: (弓のように曲がっているものの)狂いや歪(ゆが)みを調整して本来の曲がり具合にする、本来の形に整える、正しい形に直(なお)す、同「撟」、矯正(キョウセイ)。
曲げる、歪める、むやみに(故意に)歪める、同「撟」、矯命(キョウメイ)(本来の命令・指示を歪めて伝えること)」。
力強いさま、勇ましいさま。
ぐっと挙(あ)げる、反(そ)らせて曲げるように一方(片方)だけを持ち上げる、同「撟」、矯首(キョウシュ)(頭をぐいっと上げる)」。",矯 → JPDB Kanji Freq: 2604,漢字の読みを入力してください,Text
__累__計，__累__積，係__累__,ルイ,"［累］凖二級
音: ルイ 訓: 
意味: 同様のものごと(物・者や事・言など)が次へ次へと(以前のことに加えて更に同じことが)繰り返される、また積み重なる、同「纍」「絫」。
次へ次へと繋(つな)がって行く、またそのようなこと、累代(ルイダイ)(何代にも亘ること)」、連累(レンルイ)(巻き添えになること、累が及ぶこと)」。
同じようなことが何度も繰り返されて(同じようなことを何度も繰り返さなくはならず)煩(わずら)わしい。
繁「纍」。",累 → JPDB Kanji Freq: 2593,漢字の読みを入力してください,Text
進__捗__,チョク,"［捗］二級
音: ホ／ブ／チョク／チキ 訓: はかど・る
意味: 打つ。
捗攎(ホロ)、未詳、「散らばった草を拾い集める」の意か？
日はかど・る、仕事が順調に進む",捗 → JPDB Kanji Freq: 2584,漢字の読みを入力してください,Text
__墳__墓，古__墳__,フン,"［墳］三級
音: フン／ブン／ホン／ボン 訓: 
意味: 土を丸く盛り上げて造った墓、ほぼ平らか比較的低い土盛りものものは「墓」。
土を高く盛り上げたところ、堤防。
丸く盛り上がった土。
三墳(サンプン)、伏羲・神農・黄帝の書、但し異説あり。",墳 → JPDB Kanji Freq: 2582,漢字の読みを入力してください,Text
__舷__側，右__舷__,ゲン,"［舷］二級
音: ケン／ゲン 訓: ふなばた／ふなべり
意味: 船の(弓のように曲がった)側面。
船の左右の縁(へり)。",舷 → JPDB Kanji Freq: 2575,漢字の読みを入力してください,Text
