Question,Answers
柬埔寨,カンボジア
勝男武士,かつおぶし
珍糞漢糞,ちんぷんかんぷん
建坪率,けんぺいりつ
飛竜頭,ひりょうず
末行,まぎょう
新約克,ニューヨーク
愛羅武勇,アイラブユー
芒果,"マンゴー,マンゴ"
土根性,どこんじょう
匈牙利,ハンガリー
度田舎,どいなか
亜墨利加,アメリカ
夜呂死苦,よろしく
晩香坡,バンクーバー
軽目,カルメ
羅馬字,ローマじ
素適,すてき
花歌留多,"はなカルタ,はなガルタ"
闍婆,ジャワ
五万米,ごまめ
偸閑,あからさま
波行,はぎょう
謝文,ざぼん
虚蝉,うつせみ
阿行,あぎょう
瓲,トン
加行,かぎょう
和佐比,わさび
加密列,"カミツレ,カミルレ"
久留子,クルス
牛,ぎゅう
留,"ルーブル,ルーブリ"
釬,ミル
節,ノット
浬,ノット
打,ダース
兄者,あにじゃ
入満,イルマン
片尼,ペニー
発止,はっし
左変,サへん
佐変,サへん
良変,ラへん
奈変,ナへん
加変,カへん
麻行,まぎょう
也行,やぎょう
夜行,やぎょう
吠舎,"バイシャ, ヴァイシャ"
吠陀,ベーダ
連玉,れだま
米噸,べいトン
軽衫,カルサン
笈多,グプタ
珍陀,チンタ
転合,てんごう
転業,てんごう
規那,キナ
特亜,とくア
熱目,あつめ
坂豚,サカぶた
蘇丹,スーダン
噸税,トンぜい
舎密,セイミ
叱叱,しっしっ
別垢,べつアカ
姉者,あねじゃ
大臼,ダイウス
嬪夫,ピンプ
炉利,ロリ
奈行,なぎょう
母者,"ははじゃ,はわじゃ"
尾季,びき
旃那,センナ
波宇,"パオ,パウ,ハウ"
複垢,ふくアカ
闇垢,やみアカ
副垢,ふくアカ
浅目,あさめ
印支,インシ
湾処,わんど
無下,むげ
丑満,うしみつ
伊蘭,イラン
不斗,ふと
仏噸,ふつトン
仏屯,ふつトン
骨杯,コップ
柴棍,サイゴン
左行,さぎょう
佐行,さぎょう
舎路,シアトル
輪奈,わな
正油,しょうゆ
切角,せっかく
強強,ごわごわ
得撒,テキサス
碌々,ろくろく
尼羅,ナイル
紐約,ニューヨーク
馬穴,バケツ
馬尻,バケツ
曼谷,バンコク
盤谷,バンコク
曹達,ソーダ
厨二,ちゅうに
椪柑,ぽんかん
凸柑,ぽんかん
不丹,ブータン
英屯,えいトン
英噸,えいトン
護美箱,ごみばこ
兄者人,あにじゃひと
伊留満,イルマン
由婁漫,イルマン
馬尼剌,マニラ
虎列刺,コレラ
阿乙呉,あいご
黎巴嫩,レバノン
紺四郎,こんしろう
追丁株,おいちょかぶ
和地関,"バチカン,ヴァチカン"
巴拉圭,"パラグアイ,パラグァイ,パラグワイ"
阿部槇,あべまき
阿部槙,あべまき
馬徳里,"マドリード,マドリッド"
姉者人,あねじゃひと
提宇子,ダイウス
大宇須,ダイウス
母者人,"ははじゃひと,はわじゃひと"
父者人,"ちちじゃひと,ててじゃひと"
聖保羅,サンパウロ
不列顛,ブリテン
不列顚,ブリテン
底野迦,テリアカ
檸檬酒,レモンしゅ
金餅糖,コンペイトー
烏克蘭,ウクライナ
宇克蘭,ウクライナ
宇柳貝,ウルグアイ
宇柳具,ウルグアイ
越幾斯,エキス
厄瓜多,エクアドル
寿語録,すごろく
村時雨,むらしぐれ
加爾基,カルキ
軽目焼,カルメやき
切死丹,キリシタン
科威都,"クウェート,クウェイト"
寿喜焼,すきやき
野方図,のほうず
野放途,のほうず
古加涅,コカイン
撒哈拉,サハラ
寿留女,するめ
四季施,しきせ
雪特尼,シドニー
西伯利,"シベリア,シベリヤ"
叙利亜,シリア
星嘉坡,シンガポール
牙買加,ジャマイカ
士篤恒,ストックホルム
五真米,ごまめ
木形子,こけし
愛斯蘭,アイスランド
阿爾及,アルジェリア
利比亜,リビア
喜佐古,"きさご, きしゃご"
薄野呂,うすのろ
塞爾維,セルビア
蘇維埃,"ソビエト,ソヴィエト"
突尼斯,"チュニジア,テュニジア"
第希蘭,テヘラン
巴格達,"バグダッド,バグダード"
晩香波,バンクーバー
丑満時,うしみつどき
天鵞絨,ビロード
芬蘭土,フィンランド
摩尼教,マニきょう
末尼教,マニきょう
捏巴爾,ネパール
玻里非,"ボリビア,ボリヴィア"
幾内亜,ギニア
御目出糖,おめでとう
馬来西亜,マレーシア
利比利亜,リベリア
亜皮西尼,アビシニア
伯母者人,おばじゃひと
叔母者人,おばじゃひと
蘇門答剌,スマトラ
耶路撒冷,エルサレム
裏山死刑,うらやましけい
烏剌紐母,ウラニウム
諳厄利亜,アンゲリア
夜露四苦,よろしく
箪笥預金,たんすよきん
箪笥貯金,たんすちょきん
亜爾加里,アルカリ
安母尼亜,アンモニア
豪太剌利,オーストラリア
寒武利亜,カンブリア
鬼理死丹,キリシタン
破茶目茶,はちゃめちゃ
臥児狼徳,グリーンランド
天爾遠波,てにをは
弖爾乎波,てにをは
珍紛漢紛,ちんぷんかんぷん
尼加拉瓦,ニカラグア
巴基斯担,パキスタン
大不列顛,だいブリテン
大不列顚,だいブリテン
加里石鹸,カリせっけん
阿富汗斯,アフガニスタン
日巴拉太,ジブラルタル
委内瑞拉,"ベネズエラ, ヴェネズエラ"
毛里求斯,モーリシャス
暮利比亜,"ボリビア, ボリヴィア"
真秀呂場,まほろば
別剌敦那,ベラドンナ
紫羅欄花,あらせいとう
成吉思汗鍋,ジンギスカンなべ
家内喜多留,やなぎだる
樺太柳葉魚,からふとししゃも
社交倶楽部,しゃこうクラブ
更紗馬蹄螺,サラサばていら
馬達加斯加,マダガスカル
麻雀倶楽部,マージャンクラブ
新浪漫主義,しんろうまんしゅぎ
文学倶楽部,ぶんがくクラブ
奇妙奇天烈,きみょうきてれつ
印度尼西亜,インドネシア
重炭酸曹達,じゅうたんさんソーダ
亜富汗斯坦,アフガニスタン
阿富汗斯坦,アフガニスタン
印度支那戦争,インドシナせんそう
伊呂波歌留多,"いろはカルタ, いろはガルタ"
