Question,Answers,Comment,Instructions
"娘「なぞなぞです。お父さんが嫌いな果物は何でしょう。」  　父「ううん、なんだろう。あ、そうか、( 　)。パパイヤだ。パパが嫌な果物ってことだよね。」
 　娘「正解です。」
 1. わかった 
 2. わかったのに 
 3. わかってた 
 4. わかってね",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"この小説を読んで、友のためなら、自分はどうなったって (  ) という 主人公の熱い思いに感動した。
 1. たまらない 
 2. かまわない 
 3. わけがない 
 4. ならない",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"わたしたちが旅館に着くと、従業員たちが笑顔で「ようこそ (  )。」 とあいさつしてくれた。
 1. お越しくださいました 
 2. お伺いしました 
 3. お呼びいただきました 
 4. お迎えしました",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A 「次の登山、大山に登るのはどう? 」 B 「大山は3年前に一度(  )から、ほかの山がいいなあ。」
 1. 登ってみる 
 2. 登ってくる 
 3. 登っていく 
 4. 登ってい る",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"日本の人気バンド「z」は、ヨーロッパでコンサートを行うなど、活動を世界 (  )広げている。
 1. でと 
 2. へと 
 3. からも 
 4. ほども",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"パソコン教室の講師に ( 　) 、人に教えるのは難しいけど楽しいということがわかりました。
 1. なったかぎり 
 2. したかぎり 
 3. したおかげで 
 4. なったおかげで",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"だれだって、失敗もするし、( 　) やれないときもある。
 1. やるなと言われたことが 
 2. やるなと言われたのは 
 3. やらなくてはいけないことが 
 4. やらなくてはならないのは",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"内容がわからない話を長時間( 　)、大人だって耐えられないことでしょう。
 1. 聞かなくていいとしたら 
 2. 聞かなければならないこ どで 
 3. 聞かなければならないとしたら 
 4. 間かなくていいことで",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(本屋で)
A 「あ、この本、面白いよ。」B 「どんな話?」 A 「主人公と恋人が、親に無理やり( 　)話なんだけど、すごくどきどきするんだ。」
 1. 別れそうになる 
 2. 別れられそうになる 
 3. 別れさせそうになる 
 4. 別れさせられそうになる",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"Y 遊園地の昨年の入場者数は、1000万人（  ）上った。
 1. に 
 2. で 
 3. が 
 4. と",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"鉄道会社と自治体による長期間の議論（  ）、新駅の建設が決定された。
 1. をめぐり 
 2. を込めて 
 3. の末に 
 4. のことで",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"今日は午後から晴れるという予報だったが、午後になっても雨はやまず、むしろ（  ）ばかりだった。
 1. 強い 
 2. 強く 
 3. 強かった 
 4. 強くなる",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"哲学Ⅱの授業は、哲学Ⅰの単位を取得（  ）、受けることができません。
 1. してからか 
 2. してからでないと 
 3. してからで 
 4. してからでなくて",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"（広告で）現在、数量限定半額セールを実施中。商品が（  ）終了しますので、お早めに。
 1. なくなり次第 
 2. なくなった以上 
 3. なくなるうちに 
 4. なくなっては",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"（花屋のホームページで）ご予算に合わせて、花束をお作りします。送料無料で日にち指定の全国発送も（  ）。
 1. 申し上げます 
 2. 差し上げます 
 3. いただきます 
 4. うけたまわります",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"夫「行ってきます。」妻「え？会社、行くの？まだ熱があるんでしょう？」 夫「大事な会議があるから、（  ）んだ。」
 1. 休んでもおかしくない 
 2. 休みっこない 
 3. 休むわけにはいかない 
 4. 休むほかない",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"Ａ「ねえ見て、このゲーム。面白そうだから、買っちゃった。」 Ｂ「あ、それって、最近雑誌（  ）よく取り上げられてるゲームでしょう？」
 1. か何かを 
 2. や何かで 
 3. か何かか 
 4. や何かは",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"砂糖、塩、酢、しょうゆ、みそ、これらは日本食を作る（  ）調味料です。
 1. のに欠かせない 
 2. ことは欠かさない 
 3. のを欠かさない 
 4. ことも欠かせない",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"うちの犬は、私が（  ）、寂しそうな目で私を見る。
 1. 出かけるところに 
 2. 出かけようとしたまま 
 3. 出かけるところみたいで 
 4. 出かけようとするたびに",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私は、ストレスは悪い（  ）思っていたので、良いストレスもあると知って驚いた。
 1. ものだとなんて 
 2. ものだとばかり 
 3. などのことだと 
 4. のみでのことだと",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"司会者「お二人は、子供が外で遊ばなくなったのはなぜだと思いますか。」
山田「子供が安心して遊べる場所がなくなったからだと思います。」
西川「確かに（  ）が、遊びの種類が変わったことも理由の一つだと思います。」
 1. そうします 
 2. そのつもりです 
 3. それもあるかもしれません 
 4. それではありません",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"この国で、卵、牛乳（　 ）3番目に多い食物アレルギーは、小麦アレルギーだ。
 1. についで 
 2. にそって 
 3. に代わって 
 4. にしたがって",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"弟はスケートをするのが初めてだったので何度か転んでいたが、初めてにしては（　 ）上手だった。
 1. ついに 
 2. まさか 
 3. なかなか 
 4. まもなく",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私は漫画ばかり読んでいると思われているようだが、そんなことはない。たまには小説を読むこと（　 ）ある。
 1. なんて 
 2. だって 
 3. のほかにも 
 4. のほうが",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私は、進学するか就職するか迷ったが、家族や先生と何日も（　 ）、進学を選んだ。
 1. 話し合った末に 
 2. 話し合って以来 
 3. 話し合ったきり 
 4. 話し合って初めて",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(会社で)課長「岸さん、A社の木村様が（　 ）、応接室に案内してください。」下「はい、わかりました。」
 1. 参ったら 
 2. 伺ったら 
 3. おありだったら 
 4. おいでになったら",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"実家の押し入れを片付けていたら、祖父母の結婚式の写真が出てきた。よくこんな昔の写真が今まで残っていた （　 ）。
 1. わけだ 
 2. ものだ 
 3. だろうか 
 4. のではないか",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"今回の戦略が有効であったかどうかは、まだ結果が出ていない現時点では（　 ）。
 1. 判断すべきだ 
 2. 判断しかねる 
 3. 判断したにすぎない 
 4. 判断せざるを得ない",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"妻「ねえ、この雑誌のアンケートに答えると、抽選で一人にテレビが当たるんだって。応募してみようよ」 夫「抽選で一人じゃ、（　 ）。」
 1. 当たりますように 
 2. 当たらないくせに 
 3. 当たるといいなあ 
 4. 当たりっこないよ",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"どんな人が相手でも厳しく接する森先輩だが、なぜか私（　 ）そうではない。
 1. のためにしか 
 2. のことだけで 
 3. についてしか 
 4. に対してだけは",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"自分のアドバイスが相手の人生を大きく変える（　 ）、誰でも慎重になるだろう。
 1. かもしれない一方で 
 2. しかない一方で 
 3. かもしれないとしたら 
 4. しかないとしたら",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"近所の図書館によく行くが、人気の本が貸し出し中で読めないことが多いので、もっと数を増やして、たくさんの人 が読める（　 ）。
 1. ようにしてほしい 
 2. ようになりたい 
 3. ようにすることができる 
 4. ようになろうとしている",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(店で) 客 「すみません、この携帯電話を解約したいんですが。」 店員「かしこまりました。差し支えなければ、解約の理由を（　 ）。」
 1. お聞きしませんか 
 2. お聞きになりますか 
 3. お聞きしてもよろしいでしょうか 
 4. お聞きになったらいかがですか",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"竹石海水浴場は、約700メートル(      )、美しい砂浜が続いています。
 1. を通じて 
 2. に次いで 
 3. をめぐって 
 4. にわたって",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"奨学金の申請希望者は、締め切り日までに必要な書類を学生課奨学金係に直接持参するか、(      )郵送してください。
 1. あるいは 
 2. および 
 3. なお 
 4. すなわち",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"妻「ねえ、最近、天気予報、当たらないよね。今日(      )一日晴れるって言ってたのに、午後は雤が降ったし。」
　夫「そうだね。」
 1. くらいでも 
 2. だったり 
 3. だって 
 4. とかで",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私がテニスを教えている中学生が、県大会で初めて優勝した。彼の努力をずっと見てきた(      )、本当にうれしい。
 1. あげく 
 2. 際に 
 3. あまり 
 4. だけに",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(会社で) 山下「田中さん、先ほどABC 建設の木村様からお電話がありました。至急連絡がほしい(       )。」   田中「はい、わかりました。」
 1. までです 
 2. とします 
 3. とのことです 
 4. ことになります",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"夫にもらった指輪をなくしてしまった。一週間以上あちこち探しているが見つからない。もう(      )のか。
 1. あきらめるしかない 
 2. あきらめたこともある 
 3. あきらめるはずがない 
 4. あきらめがたい",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"先日の勉強会には、社会福祉を専門に研究されている、ABC 大学の石川春子先生に(      )。
 1. 参りました 
 2. お越しいただきました 
 3. おいでくださいました 
 4. いらっしゃいました",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"「村山屋」はコロッケが人気のお店で、いつも行列ができている。多いときは一日に千個も売れる(      )驚きだ。
 1. となってでも 
 2. とするには 
 3. とあったほど 
 4. というから",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私は、いつ雨が(      )、常に折り畳み傘を持ち歩いている。
 1. 降ってもいいように 
 2. 降っているとすると 
 3. 降らないせいで 
 4. 降ることがないのに",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(育児の本で) 3歳ぐらいになると、「なぜ? 」「どうして? 」という質問が多くなりますが、(      )きちんと答 えてあげましょう。
 1. めんどうくさくなくて 
 2. めんどうくさくなるのが 
 3. めんどうくさがらずに 
 4. めんどうくさがっていては",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A「ねえ、夏休みの宿題、進んでる? 」
　B 「私はもう全部終わったよ。どうせ(      )、早めにやっちゃおうと思って、夏休みに入ってすぐ始めたんだ。」
 1. やろうとしないわりには 
 2. やらなきゃいけないんなら 
 3. やろうとしないばかりか 
 4. やらなきゃいけないといっても",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"現在、A 港周辺では再開発が進んでおり、道路や公園などの公共施設が整備(      )。
 1. させられそうになる 
 2. し始めていく 
 3. させ続ける一方だ 
 4. されつつある",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"野党の追及に対し、大臣は満足な回答だできなかったどころか、質問の内容(　　) 理解できていなかった。
 1. すら 
 2. こそ 
 3. のみ 
 4. ほど",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"最近 (　　)パソコンの調子がおかしい。この状態が続くようだったら一度修理に出した方がよさそうだ。
 1. ちっとも 
 2. いったい 
 3. どうも 
 4. まさか",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(広告で) 川西ピアノ教室では、初心者、経験者 (　　)、どなたにでも丁寧に指導します。
 1. を通して 
 2. を問わず 
 3. にかけて 
 4. にもかかわらず",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"めったに出かけないのに、外出するとき(　　) 大雨になる。
 1. にあたって 
 2. にかぎって 
 3. において 
 4. に際して",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"昨夜よく眠れなかった(　　)、体がだるい。
 1. からには 
 2. わけか 
 3. あまりに 
 4. せいか",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"初めてこの町を訪れたが、不思議な(　　)、ずっと前からここに住んでいるような気がする。
 1. ことに 
 2. うえに 
 3. くせに 
 4. ものに",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(会社で)

A「じゃ、来週の打ち合せも水曜日でいいですか?」
B「あ、スケジュールを(　　)ちょっとわからないので、あとで連絡します。」
 1. 確認していないと 
 2. 確認してみないと 
 3. 確認しているか 
 4. 確認してみるか",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"「一つの仕事を少なくとも三年は(　　)、どこに行っても何もできない」と言われた。
 1. やり続けられなかったら 
 2. やり続けられなくなっても 
 3. やり始められなかったら 
 4. やり始められなくなっても",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"仕事でも勉強でも、一度やると決めたら最後まで(　　) ことが大事だと思う。
 1. やり直す 
 2. やりだす 
 3. やり抜く 
 4. やりかける",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(受付で)
 山川「すみません。ABC 社の山川と申しますが、経営部の中西さんをお願いします。」
 受付「申し訳ございません。中西はただいま外出しております。」
山川「え、中西さんご本人から、この時間だったらいらっしゃると(　　)が。」
 1. お聞きになったんです 
 2. 申し上げたんです 
 3. ご存じなんです 
 4. うかがったんです",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"職業が決まった会社に「早く働きたい」と話したら、その後連絡が来て、就職する までの間、アルバイトを(　　)。
 1. してあげることになった 
 2. してもらうことにした 
 3. させてあげることにした 
 4. させてもらうことになった",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A「先輩に食事に誘われちゃって。どうしよう。行きたくないなあ。」
 B「どうして悩むの?嫌なら(　　) ?」
A「そうなんだけど、先輩だし、断りにくくない?」
 1. 断ればいいだけなの 
 2. 断りたいだけなの 
 3. 断ればいいだけでしょう 
 4. 断りたいだけでしょう",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"このレストランは、 客の予算(  )いくつかのコースを用意してくれる。
 1. に比べて 
 2. に先立って 
 3. に応じて 
 4. に向けて",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"学校に来る(  )財布を忘れたのに気づいた。
 1. とちゅうで 
 2. ついでに 
 3. なかで 
 4. うちに",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"踏切事故のために、 2時間 (  )、電車がストップしました。
 1. につき 
 2. につれ 
 3. にわたり 
 4. にともない",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"一回失敗したくらいで、(  )そこまで悪く言わなくてもいいだろう。
 1. なにを 
 2. なにが 
 3. なにも 
 4. なにで",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"田中選手は前大会に続いて、今大会でも優勝を果たした。 彼の今後の活躍に周囲の期待は高まる(  )。
 1. 中心だ 
 2. 事情だ 
 3. 原因だ 
 4. 一方だ",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"これだけ景気が悪いのに、税金を上げようとするのは、わたしたち国民には理解(  )。
 1. しすぎる 
 2. しがたい 
 3. しかねない 
 4. しがちだ",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(メールで)

田中です。先日お話があったスピーチの件なんですが、 ぜひわたしに(  )。
 1. やっていただけないでしょうか 
 2. やらせていただけないでしょうか 
 3. やってもよろしいでしょうか 
 4. やらせてもよろしいでしょうか",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"山下: 「田中君、 きみ、 また大阪に出張なんだって?」

田中: 「ええ、そうなんですよ。 ついこの前も出張に ( )なんですけどねえ。」
 1. 行かれたまま 
 2. 行かされたまま 
 3. 行かれたばかり 
 4. 行かされたばかり",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"仕事の合間にときどき遠くを見る (  )、目が疲れにくくなった。
 1. ようにしたところに 
 2. ようにしたところ 
 3. までになったところに 
 4. までになったところ",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"人間の脳に関する研究で明らかになったことはまだほんの一部( )、その研究は着実に進んできた。
 1. にすぎないとすると 
 2. にかかわらないとすると 
 3. にすぎないとはいえ 
 4. にかかわらないとはいえ",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"会議の目的は新商品のアイディアを自由に出し合う( )が、結局、上司に意見が優先されて終わった。
 1. ことにあったはずだ 
 2. ことにあったためだ 
 3. のにあったはずだ 
 4. のにあったためだ",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"残業が続いて体を壊したときに、 自分の人生は (  )と思って、 転職を決めた。
 1. このままならいいのではないか 
 2. このままがいいのではないか 
 3. このままよりいいのだろうか 
 4. このままでいいのだろうか",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A 「もう無理だよ、私には5キロなんて走れないよ。」B「まだ500メートルだよ。なんでそうやってすぐ、もうだめ（  ）言うの。」
 1. を 
 2. は 
 3. とか 
 4. とは",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"あれこれ悩んだ（  ）、ABC 大学を志望校に決めた。
 1. さきに 
 2. すえに 
 3. ところに 
 4. とおりに",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"プリンターの調子が悪くなり、製造会社に電話で問い合わせたら、向こうの担当者に、あれこれ質問に答え（  ）あげく、対応できないと言われた。
 1. させた 
 2. させられる 
 3. させる 
 4. させられた",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
